"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","2038","0.0-0.0","578b5756160201000103fe40","640759fa512f630a2bdc333d","64077cebe938bc776f9bb271","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4265","0.0-1.0","578b5756160201000103fe40","640759fa512f630a2bdc333d","64077cebe938bc776f9bb271","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","6839","0.0-2.0","578b5756160201000103fe40","640759fa512f630a2bdc333d","64077cebe938bc776f9bb271","2571","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","16846","0.0-3.0","578b5756160201000103fe40","640759fa512f630a2bdc333d","64077cebe938bc776f9bb271","5165","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","17357","0.0-4.0","578b5756160201000103fe40","640759fa512f630a2bdc333d","64077cebe938bc776f9bb271","510","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","27364","0.0-5.0","578b5756160201000103fe40","640759fa512f630a2bdc333d","64077cebe938bc776f9bb271","86","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","34390","0.0-6.0","578b5756160201000103fe40","640759fa512f630a2bdc333d","64077cebe938bc776f9bb271","7024","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","43974","0.0-7.0","578b5756160201000103fe40","640759fa512f630a2bdc333d","64077cebe938bc776f9bb271","9566","[""video/TaskInstructions3.mp4""]","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","48005","0.0-8.0-0.0","578b5756160201000103fe40","640759fa512f630a2bdc333d","64077cebe938bc776f9bb271","4030","img/training1.png","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","58129","0.0-8.0-1.0-0.0","578b5756160201000103fe40","640759fa512f630a2bdc333d","64077cebe938bc776f9bb271","[4082]","","","[22]","[177]","177","261","81.23183197384442","[81.23183197384442]","[180.2318319738444]","[178]","0","0","1","0","499.90000000000146","1008.2200000000012","1000","","","0","training","",""
