"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1837","0.0-0.0","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","516543","0.0-1.0","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","520536","0.0-2.0","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","3991.300000011921","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>","arrowright","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","530546","0.0-3.0","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","5825.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","arrowright","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","531458","0.0-4.0","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","910.1999999880791","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","541469","0.0-5.0","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","549471","0.0-6.0","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","8001.200000017881","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","arrowright","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","559836","0.0-7.0","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","10363","[""video/TaskInstructions3.mp4""]","arrowright","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","564691","0.0-8.0-0.0","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","4854.0999999940395","img/training1.png","arrowright","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","575352","0.0-8.0-1.0-0.0","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","[3869.300000011921]","","","[13]","[355]","355","174","153.93609392689538","[153.93609392689538]","[339.9360939268954]","[338]","0","0","1","0","499.02700000593904","1008.3400000178954","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","584171","0.0-8.0-0.1","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","8818","img/training2.png","arrowright","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","592727","0.0-8.0-1.1-0.1","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","[2760.2999999821186]","","","[24,5,23]","[317,61,262]","317","277","247.8959108532146","[247.8959108532146]","[330.89591085321456]","[331]","[210,30,210,30,300,30,210,30,300,120,300,300,300,30,300,30,30,210,120,210,210,30,120,210,210,210,300,30,120,30,210,300,120,30,210,210]","0","3","0","999.5650000119349","1015.6760000119684","1000","[[[""img/mask54.png""],[""img/mask55.png""],[""img/mask54.png""]]]","","[24,5,23]","training","",""
"","","","","","image-keyboard-response","12","597599","0.0-8.0-0.2","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","4871.4000000059605","img/training3.png","arrowright","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","605160","0.0-8.0-1.2-0.2","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","[3080.699999988079]","","","[21,20,0,6,17]","[63,256,24,288,356]","63","339","40.630594940673085","[40.630594940673085]","[61.63059494067306]","[60]","[120,30,300,300,120,120,210,120,120,210,300,210,210,30,120,210,30,300,210,210,30,120,120,210,210,300,210,210,30,120,30,120,300,300,300,210]","0","5","0","499.3390000000363","495.32100000593346","500","[[[""img/mask56.png""],[""img/mask8.png""],[""img/mask72.png""],[""img/mask52.png""],[""img/mask66.png""]]]","","[21,20,0,6,17]","training","",""
"","","","","","image-keyboard-response","14","609630","0.0-8.0-0.3","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","4469.300000011921","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","615924","0.0-8.0-1.3-0.3","57dd186e6598aa0001992616","640759fa512f630a2bdc333d","6407b7e9891ff34e00dc333d","[2466.5]","","","[29,6,5,15,1,9,20,17,21,3]","[256,331,288,6,314,28,78,278,42,347]","256","236","70.91569569428945","[70.91569569428945]","[194.91569569428947]","[193]","[120,300,120,210,300,210,210,300,210,30,120,30,120,300,30,30,30,120,300,210,300,120,300,30,210,300,300,210,120,210,300,210,120,210,300,300]","0","10","0","132.77300000598188","147.95000000600703","132","[[[""img/mask68.png""],[""img/mask72.png""],[""img/mask96.png""],[""img/mask46.png""],[""img/mask89.png""],[""img/mask56.png""],[""img/mask91.png""],[""img/mask57.png""],[""img/mask99.png""],[""img/mask25.png""]]]","","[29,6,5,15,1,9,20,17,21,3]","training","",""
