"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","7321","0.0-0.0","58a202ac66e4640001c52bfd","640759fa512f630a2bdc333d","6408c182ea35d7b036dbc9b7","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10523","0.0-1.0","58a202ac66e4640001c52bfd","640759fa512f630a2bdc333d","6408c182ea35d7b036dbc9b7","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","19369","0.0-2.0","58a202ac66e4640001c52bfd","640759fa512f630a2bdc333d","6408c182ea35d7b036dbc9b7","8844.799999952316","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","29371","0.0-3.0","58a202ac66e4640001c52bfd","640759fa512f630a2bdc333d","6408c182ea35d7b036dbc9b7","9769.900000095367","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","33116","0.0-4.0","58a202ac66e4640001c52bfd","640759fa512f630a2bdc333d","6408c182ea35d7b036dbc9b7","3743.7999999523163","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","43119","0.0-5.0","58a202ac66e4640001c52bfd","640759fa512f630a2bdc333d","6408c182ea35d7b036dbc9b7","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","64836","0.0-6.0","58a202ac66e4640001c52bfd","640759fa512f630a2bdc333d","6408c182ea35d7b036dbc9b7","21716.200000047684","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","100407","0.0-7.0","58a202ac66e4640001c52bfd","640759fa512f630a2bdc333d","6408c182ea35d7b036dbc9b7","35565.10000014305","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","107075","0.0-8.0-0.0","58a202ac66e4640001c52bfd","640759fa512f630a2bdc333d","6408c182ea35d7b036dbc9b7","6654.5","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","126924","0.0-8.0-1.0-0.0","58a202ac66e4640001c52bfd","640759fa512f630a2bdc333d","6408c182ea35d7b036dbc9b7","[4918.299999952316]","","","[2]","[144]","144","163","293.0137315311058","[293.0137315311058]","[130.0137315311058]","[130]","0","0","1","0","498.71300004769","1007.7869998569513","1000","","","0","training","",""
