"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1579","0.0-0.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","131601","0.0-1.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","137421","0.0-2.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","5819.300000011921","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","147426","0.0-3.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","8235.10000000894","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","148856","0.0-4.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","1429.9000000059605","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","g","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","158862","0.0-5.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","160506","0.0-6.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","1643.4000000059605","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","g","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","183908","0.0-7.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","23399.40000000596","[""video/TaskInstructions3.mp4""]","a","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","189172","0.0-8.0-0.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","5263.70000000298","img/training1.png","a","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","196645","0.0-8.0-1.0-0.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","[1072]","","","[27]","[51]","51","128","183.2167070056554","[183.2167070056554]","[55.216707005655394]","[54]","0","0","1","0","500.1419999910577","999.6699999940465","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","200468","0.0-8.0-0.1","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","3822.199999988079","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","209109","0.0-8.0-1.1-0.1","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","[2578.5999999940395]","","","[22,3,27]","[26,158,139]","26","202","223.19539783951555","[223.19539783951555]","[21.19539783951555]","[21]","[120,300,120,210,210,300,210,120,120,300,30,300,210,30,300,30,210,30,300,120,210,120,120,300,210,210,300,30,30,210,210,30,120,30,120,120]","0","3","0","1000.7499999940337","1000.9629999999888","1000","[[[""img/mask9.png""],[""img/mask22.png""],[""img/mask92.png""]]]","","[22,3,27]","training","",""
"","","","","","image-keyboard-response","12","212595","0.0-8.0-0.2","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","3486.2999999970198","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","218213","0.0-8.0-1.2-0.2","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","[2240.5999999940395]","","","[1,35,34,3,9]","[251,234,119,78,170]","251","174","340.636186664945","[340.636186664945]","[166.636186664945]","[166]","[210,300,300,210,120,30,210,30,30,120,210,210,30,210,300,30,210,300,300,210,120,300,120,300,120,120,120,300,120,30,30,300,30,30,120,210]","0","5","0","500.32699999702163","498.3509999999951","500","[[[""img/mask21.png""],[""img/mask80.png""],[""img/mask40.png""],[""img/mask52.png""],[""img/mask98.png""]]]","","[1,35,34,3,9]","training","",""
"","","","","","image-keyboard-response","14","222787","0.0-8.0-0.3","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","4573.399999991059","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","227249","0.0-8.0-1.3-0.3","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","[1449.7000000029802]","","","[2,0,18,3,19,4,11,23,13,28]","[349,148,129,2,72,108,28,43,325,86]","349","288","35.47428165806921","[35.47428165806921]","[107.4742816580692]","[106]","[210,210,30,30,120,120,30,300,210,30,300,30,300,300,120,30,300,30,300,210,300,30,210,120,300,210,120,120,300,210,210,30,300,300,300,30]","0","10","0","133.21299999405164","131.87099999104976","132","[[[""img/mask22.png""],[""img/mask69.png""],[""img/mask82.png""],[""img/mask16.png""],[""img/mask41.png""],[""img/mask40.png""],[""img/mask37.png""],[""img/mask67.png""],[""img/mask28.png""],[""img/mask51.png""]]]","","[2,0,18,3,19,4,11,23,13,28]","training","",""
"","","","","","image-keyboard-response","16","232283","0.0-8.0-0.4","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","5033.5","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","236324","0.0-8.0-1.4-0.4","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","[1415.2999999970198]","","","[33,0,35,6,9,8,11,34,28,10,21,32,22,17,16,12,14,5,27,18,2,25,3,26,4,31,15,23,24,29,13,7,20,1,19,30]","[185,36,205,305,275,285,106,345,16,215,136,355,315,195,225,255,166,6,66,325,335,116,295,76,176,46,146,245,86,26,235,156,265,126,96,56]","185","314","152.25389101254186","[152.25389101254186]","[198.25389101254186]","[197]","[300,210,30,210,300,210,30,30,30,210,120,300,210,210,120,120,300,210,120,300,30,300,210,300,300,300,30,210,120,30,210,210,210,300,30,210]","0","36","0","133.23299999107257","14.201999999990221","16","[[[""img/mask57.png""],[""img/mask2.png""],[""img/mask48.png""],[""img/mask78.png""],[""img/mask46.png""],[""img/mask53.png""],[""img/mask2.png""],[""img/mask64.png""],[""img/mask79.png""],[""img/mask48.png""],[""img/mask37.png""],[""img/mask1.png""],[""img/mask49.png""],[""img/mask93.png""],[""img/mask60.png""],[""img/mask77.png""],[""img/mask19.png""],[""img/mask88.png""],[""img/mask26.png""],[""img/mask79.png""],[""img/mask22.png""],[""img/mask72.png""],[""img/mask70.png""],[""img/mask28.png""],[""img/mask36.png""],[""img/mask47.png""],[""img/mask5.png""],[""img/mask90.png""],[""img/mask14.png""],[""img/mask18.png""],[""img/mask80.png""],[""img/mask68.png""],[""img/mask13.png""],[""img/mask86.png""],[""img/mask78.png""],[""img/mask56.png""]]]","","[33,0,35,6,9,8,11,34,28,10,21,32,22,17,16,12,14,5,27,18,2,25,3,26,4,31,15,23,24,29,13,7,20,1,19,30]","training","",""
"","","","","","image-keyboard-response","18","238223","0.0-9.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","1898.4000000059605","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","238724","0.0-10.0-0.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","20","243235","0.0-10.0-1.0-0.0","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","[1365]","","","[21]","[87]","87","82","147.34213377189275","[147.34213377189275]","[65.34213377189275]","[64]","0","0","1","0","149.73699998809025","1000.7129999999888","1000","[[[""img/mask87.png""]]]","","","main","82","color-precision2"
"","","","","","html-keyboard-response","21","243738","0.0-10.0-0.1","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","22","247236","0.0-10.0-1.1-0.1","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","[607.9000000059605]","","","[18]","[45]","45","155","189.88287441566854","[189.88287441566854]","[34.88287441566854]","[34]","0","0","1","0","149.8069999970321","998.2909999940312","1000","[[[""img/mask35.png""]]]","","","main","155","color-precision2"
"","","","","","html-keyboard-response","23","247750","0.0-10.0-0.2","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","24","251907","0.0-10.0-1.2-0.2","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","[1341.5]","","","[15,29,7,4,12,22,0,1,14,3,23,16,17,13,28,5,27,10,11,24,8,6,19,26,9,18,34,25,20,35,31,21,33,30,2,32]","[298,357,218,278,288,348,328,38,238,128,258,48,338,98,228,18,78,188,268,118,158,108,138,198,208,308,168,8,58,318,148,28,68,178,248,88]","298","143","48.74111498865471","[48.74111498865471]","[265.7411149886547]","[264]","[30,300,120,210,120,210,30,300,30]","0","36","0","149.91999999404652","16.502000000007683","16","[[[""img/mask77.png""],[""img/mask79.png""],[""img/mask26.png""],[""img/mask17.png""],[""img/mask8.png""],[""img/mask59.png""],[""img/mask21.png""],[""img/mask99.png""],[""img/mask48.png""],[""img/mask89.png""],[""img/mask60.png""],[""img/mask87.png""],[""img/mask2.png""],[""img/mask51.png""],[""img/mask70.png""],[""img/mask13.png""],[""img/mask99.png""],[""img/mask77.png""],[""img/mask21.png""],[""img/mask98.png""],[""img/mask1.png""],[""img/mask47.png""],[""img/mask77.png""],[""img/mask90.png""],[""img/mask77.png""],[""img/mask54.png""],[""img/mask4.png""],[""img/mask97.png""],[""img/mask11.png""],[""img/mask41.png""],[""img/mask96.png""],[""img/mask66.png""],[""img/mask67.png""],[""img/mask17.png""],[""img/mask9.png""],[""img/mask77.png""]]]","","[15,29,7,4,12,22,0,1,14,3,23,16,17,13,28,5,27,10,11,24,8,6,19,26,9,18,34,25,20,35,31,21,33,30,2,32]","main","143","many-guess-6"
"","","","","","html-keyboard-response","25","252417","0.0-10.0-0.3","5adeb4e9f6b58c0001fa70aa","640759fa512f630a2bdc333d","64077cd966c0c0692f83a07d","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
