"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1560","0.0-0.0","5bad4be8b712f30001b87947","640759fa512f630a2bdc333d","640785d1269a3561f71567fb","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","302183","0.0-1.0","5bad4be8b712f30001b87947","640759fa512f630a2bdc333d","640785d1269a3561f71567fb","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","554368","0.0-2.0","5bad4be8b712f30001b87947","640759fa512f630a2bdc333d","640785d1269a3561f71567fb","252181.59999990463","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","564374","0.0-3.0","5bad4be8b712f30001b87947","640759fa512f630a2bdc333d","640785d1269a3561f71567fb","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","572365","0.0-4.0","5bad4be8b712f30001b87947","640759fa512f630a2bdc333d","640785d1269a3561f71567fb","7990.400000095367","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","582368","0.0-5.0","5bad4be8b712f30001b87947","640759fa512f630a2bdc333d","640785d1269a3561f71567fb","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","619741","0.0-6.0","5bad4be8b712f30001b87947","640759fa512f630a2bdc333d","640785d1269a3561f71567fb","37371.10000014305","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","735551","0.0-7.0","5bad4be8b712f30001b87947","640759fa512f630a2bdc333d","640785d1269a3561f71567fb","115801.79999995232","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","749693","0.0-8.0-0.0","5bad4be8b712f30001b87947","640759fa512f630a2bdc333d","640785d1269a3561f71567fb","14138.900000095367","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","761335","0.0-8.0-1.0-0.0","5bad4be8b712f30001b87947","640759fa512f630a2bdc333d","640785d1269a3561f71567fb","[1699]","","","[16]","[60]","60","147","203.92606854762414","[203.92606854762414]","[56.92606854762414]","[57]","0","0","1","0","498.89899985690136","992.9099999046884","1000","","","0","training","",""
