"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","5502","0.0-0.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","63588","0.0-1.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","77139","0.0-2.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","13550","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","87150","0.0-3.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","92947","0.0-4.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","5796.399999976158","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","102962","0.0-5.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","133150","0.0-6.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","30191.900000095367","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","159887","0.0-7.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","26734.899999976158","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","181774","0.0-8.0-0.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","21885.200000047684","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","191443","0.0-8.0-1.0-0.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","[2957.2999999523163]","","","[33]","[7]","7","42","53.7393975816397","[53.7393975816397]","[11.7393975816397]","[10]","0","0","1","0","499.2729999999865","993.619000000006","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","220072","0.0-8.0-0.1","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","28633.799999952316","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","229161","0.0-8.0-1.1-0.1","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","[3248.2000000476837]","","","[21,31,14]","[198,169,135]","198","241","112.52138831122795","[112.52138831122795]","[231.52138831122795]","[230]","[210,120,300,120,120,120,210,120,300,120,30,120,120,210,120,300,300,30,120,300,300,30,30,300,120,300,120,210,300,120,210,300,300,120,300,30]","0","3","0","999.4980000715295","997.42699997616","1000","[[[""img/mask68.png""],[""img/mask68.png""],[""img/mask97.png""]]]","","[21,31,14]","training","",""
"","","","","","image-keyboard-response","12","248352","0.0-8.0-0.2","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","19189.899999976158","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","261409","0.0-8.0-1.2-0.2","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","[8162.899999976158]","","","[19,18,22,21,17]","[33,9,337,82,352]","33","264","227.0185969174568","[227.0185969174568]","[323.01859691745676]","[323]","[300,210,120,30,210,300,300,210,120,120,120,210,300,300,30,210,30,300,120,120,30,30,120,30,300,300,210,120,120,300,120,210,120,30,120,210]","0","5","0","499.58699999999953","495.018000023847","500","[[[""img/mask22.png""],[""img/mask84.png""],[""img/mask43.png""],[""img/mask5.png""],[""img/mask14.png""]]]","","[19,18,22,21,17]","training","",""
"","","","","","image-keyboard-response","14","273520","0.0-8.0-0.3","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","12109.899999976158","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","279355","0.0-8.0-1.3-0.3","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","[3142.3000000715256]","","","[34,24,35,19,31,13,15,5,0,12]","[89,143,171,334,4,66,116,299,54,37]","89","240","320.0072484166543","[320.0072484166543]","[80.0072484166543]","[80]","[120,120,120,210,120,120,30,300,300,300,210,300,210,300,300,120,120,210,120,300,300,30,120,30,30,300,120,210,210,210,210,30,210,120,30,210]","0","10","0","132.9010000238195","125.5920000715414","132","[[[""img/mask62.png""],[""img/mask49.png""],[""img/mask62.png""],[""img/mask38.png""],[""img/mask19.png""],[""img/mask32.png""],[""img/mask83.png""],[""img/mask80.png""],[""img/mask89.png""],[""img/mask47.png""]]]","","[34,24,35,19,31,13,15,5,0,12]","training","",""
"","","","","","image-keyboard-response","16","289787","0.0-8.0-0.4","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","10420.399999976158","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","294726","0.0-8.0-1.4-0.4","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","[2302.2000000476837]","","","[0,1,3,11,34,26,24,5,28,19,29,27,25,6,21,30,13,23,10,18,35,15,2,17,16,22,4,12,7,31,14,33,8,9,20,32]","[83,23,53,103,93,263,223,133,343,143,123,303,63,293,203,313,193,273,4,13,183,333,353,153,233,253,33,43,323,283,113,243,73,213,173,163]","83","223","334.6828521490824","[334.6828521490824]","[111.68285214908241]","[112]","[120,300,210,210,120,120,30,300,120,300,210,30,300,120,210,30,210,210,30,30,120,30,300,30,120,210,120,120,210,300,30,300,120,120,30,210]","0","36","0","132.7170000000042","12.632000071520451","16","[[[""img/mask20.png""],[""img/mask47.png""],[""img/mask49.png""],[""img/mask69.png""],[""img/mask66.png""],[""img/mask55.png""],[""img/mask89.png""],[""img/mask65.png""],[""img/mask22.png""],[""img/mask27.png""],[""img/mask40.png""],[""img/mask92.png""],[""img/mask18.png""],[""img/mask69.png""],[""img/mask74.png""],[""img/mask54.png""],[""img/mask67.png""],[""img/mask61.png""],[""img/mask93.png""],[""img/mask28.png""],[""img/mask78.png""],[""img/mask89.png""],[""img/mask44.png""],[""img/mask43.png""],[""img/mask60.png""],[""img/mask52.png""],[""img/mask54.png""],[""img/mask79.png""],[""img/mask62.png""],[""img/mask43.png""],[""img/mask5.png""],[""img/mask23.png""],[""img/mask48.png""],[""img/mask36.png""],[""img/mask77.png""],[""img/mask62.png""]]]","","[0,1,3,11,34,26,24,5,28,19,29,27,25,6,21,30,13,23,10,18,35,15,2,17,16,22,4,12,7,31,14,33,8,9,20,32]","training","",""
"","","","","","image-keyboard-response","18","328555","0.0-9.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","33828.40000009537","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","329071","0.0-10.0-0.0","5d0c565f7374b40001cef0f8","640759fa512f630a2bdc333d","6408c184cf1aa4423556f7b0","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
