"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","3766","0.0-0.0","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","14355","0.0-1.0","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","18701","0.0-2.0","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","4344.600000143051","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>","n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","28703","0.0-3.0","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","7950.100000143051","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","31196","0.0-4.0","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","2492.0999999046326","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","g","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","41200","0.0-5.0","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","42084","0.0-6.0","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","883.4000000953674","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","g","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","47300","0.0-7.0","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","5213.300000190735","[""video/TaskInstructions3.mp4""]","g","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","54300","0.0-8.0-0.0","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","6998.200000047684","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","61938","0.0-8.0-1.0-0.0","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","[2583.5999999046326]","","","[35]","[217]","217","42","275.9009373223909","[275.9009373223909]","[233.90093732239092]","[234]","0","0","1","0","499.4810001907317","995.3360001907349","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","66604","0.0-8.0-0.1","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","4665.100000143051","img/training2.png","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","73418","0.0-8.0-1.1-0.1","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","[2064.0999999046326]","","","[26,35,10]","[122,218,289]","122","207","213.2680046498312","[213.2680046498312]","[6.268004649831198]","[6]","[30,120,210,30,300,30,30,30,300,210,120,300,30,210,30,210,300,120,300,120,120,30,210,300,120,210,300,210,300,120,300,120,30,210,30,210]","0","3","0","999.3750000476866","997.7540000476874","1000","[[[""img/mask44.png""],[""img/mask24.png""],[""img/mask21.png""]]]","","[26,35,10]","training","",""
"","","","","","image-keyboard-response","12","77820","0.0-8.0-0.2","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","4401","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","83411","0.0-8.0-1.2-0.2","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","[1873.5999999046326]","","","[4,17,5,11,0]","[344,33,331,283,267]","344","74","293.97295464842887","[293.97295464842887]","[219.97295464842887]","[220]","[300,300,210,210,300,120,120,120,30,30,300,300,210,30,300,120,300,30,210,300,30,30,30,30,300,30,30,30,210,120,210,30,30,30,210,210]","0","5","0","499.54099999999744","495.60500004768255","500","[[[""img/mask74.png""],[""img/mask94.png""],[""img/mask98.png""],[""img/mask18.png""],[""img/mask33.png""]]]","","[4,17,5,11,0]","training","",""
"","","","","","image-keyboard-response","14","85644","0.0-8.0-0.3","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","2231.4000000953674","img/training4.png","g","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","89744","0.0-8.0-1.3-0.3","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","[1722.3999998569489]","","","[28,35,19,20,3,27,18,23,11,5]","[288,207,130,166,306,328,240,193,106,262]","288","206","182.74497055978557","[182.74497055978557]","[336.74497055978554]","[336]","[300,300,210,30,300,210,210,120,120,30,120,300,30,300,300,120,120,300,300,30,210,120,120,210,120,120,210,120,30,210,210,300,120,30,210,210]","0","10","0","132.74600009537244","132.27900009536825","132","[[[""img/mask91.png""],[""img/mask58.png""],[""img/mask74.png""],[""img/mask48.png""],[""img/mask81.png""],[""img/mask76.png""],[""img/mask79.png""],[""img/mask36.png""],[""img/mask39.png""],[""img/mask79.png""]]]","","[28,35,19,20,3,27,18,23,11,5]","training","",""
"","","","","","image-keyboard-response","16","91892","0.0-8.0-0.4","5d4a41890e604c00011ade8b","640759fa512f630a2bdc333d","640785d078ed9db654f1b431","2146.2999999523163","img/training5.png","g","","","","","","","","","","","","","","","","","","","","",""
