"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1591","0.0-0.0","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","5228","0.0-1.0","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","9537","0.0-2.0","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","4308.399999991059","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>","l","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","19553","0.0-3.0","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","6439.70000000298","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","l","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","21395","0.0-4.0","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","1841.3999999910593","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","k","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","31405","0.0-5.0","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","50631","0.0-6.0","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","19225.20000000298","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","k","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","60504","0.0-7.0","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","9871.5","[""video/TaskInstructions3.mp4""]","k","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","65665","0.0-8.0-0.0","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","5159.79999999702","img/training1.png","k","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","79028","0.0-8.0-1.0-0.0","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","[6209.79999999702]","","","[23]","[148]","148","106","251.90055537814536","[251.90055537814536]","[145.90055537814536]","[148]","0","0","1","0","499.68599999701837","1008.0349999970203","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","84282","0.0-8.0-0.1","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","5254.5","img/training2.png","k","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","95229","0.0-8.0-1.1-0.1","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","[5744.899999991059]","","","[12,15,31]","[144,43,161]","144","140","293.38450870666287","[293.38450870666287]","[153.38450870666287]","[153]","[300,210,210,30,120,30,30,210,120,300,210,120,120,30,210,120,120,300,300,120,300,300,210,30,30,30,30,300,210,300,120,120,210,120,210,210]","0","3","0","999.4279999999999","1000.0739999970247","1000","[[[""img/mask57.png""],[""img/mask84.png""],[""img/mask34.png""]]]","","[12,15,31]","training","",""
"","","","","","image-keyboard-response","12","99916","0.0-8.0-0.2","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","4686.70000000298","img/training3.png","j","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","106286","0.0-8.0-1.2-0.2","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","[3185.7999999970198]","","","[24,5,20,32,0]","[232,170,121,274,190]","232","172","309.07116450803534","[309.07116450803534]","[137.07116450803534]","[137]","[210,210,300,120,300,210,210,210,30,300,210,120,210,210,210,300,210,30,210,210,210,210,120,210,120,210,30,120,210,210,210,120,120,120,120,120]","0","5","0","499.6929999880813","495.9319999940344","500","[[[""img/mask78.png""],[""img/mask28.png""],[""img/mask2.png""],[""img/mask82.png""],[""img/mask11.png""]]]","","[24,5,20,32,0]","training","",""
"","","","","","image-keyboard-response","14","109941","0.0-8.0-0.3","5dd56b0bb0438951fd535966","640759fa512f630a2bdc333d","6408c177c347c840b5e435df","3654.7000000029802","img/training4.png","j","","","","","","","","","","","","","","","","","","","","",""
