"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","2285","0.0-0.0","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7183","0.0-1.0","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","15151","0.0-2.0","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","7963","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","25175","0.0-3.0","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","30561","0.0-4.0","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","5384","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","40579","0.0-5.0","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","74545","0.0-6.0","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","33961","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","95945","0.0-7.0","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","21354","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","105901","0.0-8.0-0.0","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","9951","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","151246","0.0-8.0-1.0-0.0","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","[2141]","","","[11]","[296]","296","69","1.7211533025799912","[1.7211533025799912]","[292.72115330258]","[292]","0","0","1","0","499.64000000001397","995.9599999999919","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","168248","0.0-8.0-0.1","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","17001","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","179333","0.0-8.0-1.1-0.1","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","[4014]","","","[7,32,18]","[167,129,256]","167","14","235.6905084616154","[235.6905084616154]","[221.6905084616154]","[222]","[120,120,210,300,30,210,30,300,300,120,120,210,300,30,300,210,300,120,30,120,30,300,30,120,30,300,300,120,30,30,30,300,300,30,210,120]","0","3","0","999.0400000000081","994.359999999986","1000","[[[""img/mask70.png""],[""img/mask91.png""],[""img/mask31.png""]]]","","[7,32,18]","training","",""
"","","","","","image-keyboard-response","12","186617","0.0-8.0-0.2","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","7282","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","192893","0.0-8.0-1.2-0.2","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","[2208]","","","[2,27,20,3,34]","[43,332,105,347,279]","43","245","241.7986352882278","[241.7986352882278]","[356.79863528822784]","[357]","[210,300,300,120,120,210,300,120,300,300,210,30,210,120,210,300,210,300,300,120,210,30,300,30,120,210,210,300,120,120,300,210,30,30,300,210]","0","5","0","499.14000000001397","502.4800000000105","500","[[[""img/mask16.png""],[""img/mask34.png""],[""img/mask90.png""],[""img/mask22.png""],[""img/mask80.png""]]]","","[2,27,20,3,34]","training","",""
"","","","","","image-keyboard-response","14","203475","0.0-8.0-0.3","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","10580","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","214190","0.0-8.0-1.3-0.3","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","[6571]","","","[31,27,18,23,34,5,28,12,35,32]","[31,79,96,284,5,333,61,129,157,299]","31","263","226.3262128094053","[226.3262128094053]","[323.3262128094053]","[324]","[300,300,30,30,210,30,30,30,300,300,210,300,300,210,210,300,120,210,30,210,210,120,300,30,30,30,300,120,210,300,120,210,300,300,300,210]","0","10","0","132.89999999999418","133.89999999999418","132","[[[""img/mask30.png""],[""img/mask62.png""],[""img/mask80.png""],[""img/mask39.png""],[""img/mask25.png""],[""img/mask13.png""],[""img/mask34.png""],[""img/mask1.png""],[""img/mask99.png""],[""img/mask44.png""]]]","","[31,27,18,23,34,5,28,12,35,32]","training","",""
"","","","","","image-keyboard-response","16","220825","0.0-8.0-0.4","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","6632","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","229012","0.0-8.0-1.4-0.4","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","[3791]","","","[10,2,35,11,4,18,22,26,31,14,32,16,9,7,23,30,25,6,3,1,8,29,17,21,33,27,12,28,0,24,15,19,20,34,5,13]","[88,118,167,267,297,137,147,327,277,157,187,217,247,307,337,357,177,38,197,78,227,347,68,317,18,207,257,287,237,108,28,128,98,8,58,48]","88","58","14.650452183459825","[14.650452183459825]","[316.65045218345983]","[316]","[210,120,210,300,120,210,300,30,210,30,120,120,30,30,210,30,210,120,120,210,300,30,30,300,30,210,300,300,210,210,120,210,300,210,30,300]","0","36","0","132.54000000000815","17.54000000000815","16","[[[""img/mask10.png""],[""img/mask55.png""],[""img/mask47.png""],[""img/mask66.png""],[""img/mask40.png""],[""img/mask23.png""],[""img/mask61.png""],[""img/mask70.png""],[""img/mask33.png""],[""img/mask15.png""],[""img/mask41.png""],[""img/mask34.png""],[""img/mask78.png""],[""img/mask41.png""],[""img/mask73.png""],[""img/mask18.png""],[""img/mask37.png""],[""img/mask17.png""],[""img/mask95.png""],[""img/mask53.png""],[""img/mask67.png""],[""img/mask27.png""],[""img/mask6.png""],[""img/mask72.png""],[""img/mask96.png""],[""img/mask33.png""],[""img/mask79.png""],[""img/mask78.png""],[""img/mask58.png""],[""img/mask6.png""],[""img/mask93.png""],[""img/mask57.png""],[""img/mask42.png""],[""img/mask26.png""],[""img/mask68.png""],[""img/mask3.png""]]]","","[10,2,35,11,4,18,22,26,31,14,32,16,9,7,23,30,25,6,3,1,8,29,17,21,33,27,12,28,0,24,15,19,20,34,5,13]","training","",""
"","","","","","image-keyboard-response","18","256785","0.0-9.0","5e42f74f5b772a18434cabf7","640759fa512f630a2bdc333d","64077ce44ddf22f50a6ff9d7","27748","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
