"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","5330","0.0-0.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7514","0.0-1.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","11431","0.0-2.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","3914","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","21435","0.0-3.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","3158","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","21981","0.0-4.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","544","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","31988","0.0-5.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","33279","0.0-6.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","1290","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","41374","0.0-7.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","8081","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","44558","0.0-8.0-0.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","3181","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","55125","0.0-8.0-1.0-0.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[3327]","","","[30]","[1]","1","321","319.62722219472494","[319.62722219472494]","[358.62722219472494]","[359]","0","0","1","0","499.5","1003.3600000000006","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","59996","0.0-8.0-0.1","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","4870","img/training2.png","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","68485","0.0-8.0-1.1-0.1","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[2423]","","","[29,12,26]","[196,275,231]","196","299","134.62238440601124","[134.62238440601124]","[195.62238440601124]","[196]","[30,30,210,210,30,120,30,30,30,300,120,300,30,210,210,120,120,30,210,120,120,300,120,210,30,210,30,210,120,30,300,300,30,30,120,30]","0","3","0","1000.6600000000035","1000.0800000000017","1000","[[[""img/mask70.png""],[""img/mask63.png""],[""img/mask67.png""]]]","","[29,12,26]","training","",""
"","","","","","image-keyboard-response","12","72269","0.0-8.0-0.2","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","3782","img/training3.png","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","77878","0.0-8.0-1.2-0.2","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[1805]","","","[0,28,18,20,3]","[82,303,254,325,32]","82","231","151.24689216671493","[151.24689216671493]","[280.24689216671493]","[279]","[210,30,120,210,120,120,30,120,210,30,30,300,300,30,300,210,210,30,120,300,120,300,120,210,210,210,120,300,210,120,210,300,120,210,120,210]","0","5","0","499.75999999999476","492.6399999999994","500","[[[""img/mask24.png""],[""img/mask83.png""],[""img/mask41.png""],[""img/mask88.png""],[""img/mask87.png""]]]","","[0,28,18,20,3]","training","",""
"","","","","","image-keyboard-response","14","80500","0.0-8.0-0.3","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","2620","img/training4.png","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","86182","0.0-8.0-1.3-0.3","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[2068]","","","[1,32,15,12,22,5,16,2,33,10]","[7,350,319,39,187,198,265,293,237,223]","7","77","302.36885577304463","[302.36885577304463]","[225.36885577304463]","[226]","[210,300,300,30,300,30,120,210,210,210,120,210,30,120,210,30,120,300,30,30,30,30,30,210,210,210,300,300,30,30,300,300,120,300,120,30]","0","10","0","132.22000000000116","137.08000000000175","132","[[[""img/mask23.png""],[""img/mask35.png""],[""img/mask69.png""],[""img/mask34.png""],[""img/mask88.png""],[""img/mask100.png""],[""img/mask58.png""],[""img/mask53.png""],[""img/mask26.png""],[""img/mask24.png""]]]","","[1,32,15,12,22,5,16,2,33,10]","training","",""
"","","","","","image-keyboard-response","16","89668","0.0-8.0-0.4","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","3486","img/training5.png","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","94734","0.0-8.0-1.4-0.4","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[2010]","","","[25,0,9,14,8,7,6,10,2,34,35,18,16,21,32,22,30,15,17,5,23,3,4,11,29,27,26,13,31,24,20,28,33,12,19,1]","[165,95,354,245,295,325,285,265,215,344,275,25,225,235,115,315,5,255,195,85,175,155,75,65,125,45,15,35,335,205,135,55,105,145,185,305]","165","195","229.7721476104177","[229.7721476104177]","[34.772147610417704]","[35]","[300,210,30,210,120,120,120,30,30,210,120,210,120,120,300,30,30,120,210,210,210,120,210,30,120,120,300,30,30,210,300,120,30,300,300,300]","0","36","0","132.8000000000029","18.660000000003492","16","[[[""img/mask42.png""],[""img/mask79.png""],[""img/mask57.png""],[""img/mask9.png""],[""img/mask69.png""],[""img/mask93.png""],[""img/mask33.png""],[""img/mask43.png""],[""img/mask91.png""],[""img/mask69.png""],[""img/mask7.png""],[""img/mask77.png""],[""img/mask95.png""],[""img/mask14.png""],[""img/mask21.png""],[""img/mask96.png""],[""img/mask85.png""],[""img/mask75.png""],[""img/mask96.png""],[""img/mask75.png""],[""img/mask62.png""],[""img/mask69.png""],[""img/mask77.png""],[""img/mask23.png""],[""img/mask20.png""],[""img/mask45.png""],[""img/mask31.png""],[""img/mask75.png""],[""img/mask63.png""],[""img/mask69.png""],[""img/mask45.png""],[""img/mask72.png""],[""img/mask38.png""],[""img/mask58.png""],[""img/mask21.png""],[""img/mask50.png""]]]","","[25,0,9,14,8,7,6,10,2,34,35,18,16,21,32,22,30,15,17,5,23,3,4,11,29,27,26,13,31,24,20,28,33,12,19,1]","training","",""
"","","","","","image-keyboard-response","18","96932","0.0-9.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","2187","[""img/endTraining.png""]","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","19","103269","0.0-10.0-0.0-0.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[2891]","","","[27]","[330]","330","154","130.43421238154744","[130.43421238154744]","[336.43421238154747]","[335]","0","0","1","0","148.9600000000064","994.1399999999994","1000","[[[""img/mask72.png""]]]","","","main","154","color-precision2"
"","","","","","html-keyboard-response","20","103770","0.0-10.0-1.0","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","21","107630","0.0-10.0-0.1-0.1","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[893]","","","[32]","[127]","127","57","187.87401022849903","[187.87401022849903]","[130.87401022849903]","[130]","0","0","1","0","148.13999999999942","1000.320000000007","1000","[[[""img/mask75.png""]]]","","","main","57","color-precision2"
"","","","","","html-keyboard-response","22","108142","0.0-10.0-1.1","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","23","112469","0.0-10.0-0.2-0.2","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[1479]","","","[18]","[307]","307","281","233.33253325206573","[233.33253325206573]","[312.33253325206573]","[312]","0","0","1","0","147.55999999999767","1005.7400000000052","1000","[[[""img/mask52.png""]]]","","","main","281","color-precision2"
"","","","","","html-keyboard-response","24","112980","0.0-10.0-1.2","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","25","116957","0.0-10.0-0.3-0.3","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[1963]","","","[16,5,14,25,28,31,8,19,4,1,23,24,21,32,17,0,2,10,6,3,9,13,7,22,18,33,11,34,15,30,29,35,20,12,27,26]","[50,309,329,10,20,279,180,80,210,299,130,319,170,339,30,120,160,40,70,220,349,60,140,269,359,90,289,239,229,150,249,190,110,259,100,200]","50","227","178.7550867201331","[178.7550867201331]","[311.75508672013314]","[311]","[210,120,120,30,120,210,30,120,210]","0","36","0","149.39999999999418","24.60000000000582","16","[[[""img/mask38.png""],[""img/mask97.png""],[""img/mask68.png""],[""img/mask79.png""],[""img/mask6.png""],[""img/mask10.png""],[""img/mask18.png""],[""img/mask93.png""],[""img/mask93.png""],[""img/mask81.png""],[""img/mask28.png""],[""img/mask47.png""],[""img/mask57.png""],[""img/mask90.png""],[""img/mask17.png""],[""img/mask41.png""],[""img/mask59.png""],[""img/mask72.png""],[""img/mask12.png""],[""img/mask97.png""],[""img/mask72.png""],[""img/mask59.png""],[""img/mask12.png""],[""img/mask34.png""],[""img/mask83.png""],[""img/mask88.png""],[""img/mask11.png""],[""img/mask62.png""],[""img/mask30.png""],[""img/mask34.png""],[""img/mask96.png""],[""img/mask50.png""],[""img/mask85.png""],[""img/mask31.png""],[""img/mask53.png""],[""img/mask7.png""]]]","","[16,5,14,25,28,31,8,19,4,1,23,24,21,32,17,0,2,10,6,3,9,13,7,22,18,33,11,34,15,30,29,35,20,12,27,26]","main","227","many-guess-6"
"","","","","","html-keyboard-response","26","117466","0.0-10.0-1.3","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","27","121589","0.0-10.0-0.4-0.4","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[1390]","","","[20]","[268]","268","38","311.9713784194279","[311.9713784194279]","[273.9713784194279]","[274]","0","0","1","0","149.91999999999825","996.1000000000058","1000","[[[""img/mask9.png""]]]","","","main","38","color-precision2"
"","","","","","html-keyboard-response","28","122090","0.0-10.0-1.4","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","29","125741","0.0-10.0-0.5-0.5","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[1237]","","","[23]","[105]","105","198","301.0172777279035","[301.0172777279035]","[103.01727772790349]","[103]","0","0","1","0","149.41999999999825","998.6000000000058","1000","[[[""img/mask44.png""]]]","","","main","198","color-precision2"
"","","","","","html-keyboard-response","30","126251","0.0-10.0-1.5","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","31","129565","0.0-10.0-0.6-0.6","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[706]","","","[7]","[300]","300","61","354.99234882903227","[354.99234882903227]","[293.99234882903227]","[294]","0","0","1","0","148.29999999998836","996.4800000000105","1000","[[[""img/mask98.png""]]]","","","main","61","color-precision2"
"","","","","","html-keyboard-response","32","130072","0.0-10.0-1.6","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","33","134766","0.0-10.0-0.7-0.7","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[3055]","","","[8,12,22,1,18,11,2,26,7,21,16,6,35,23,5,10,28,17,19,3,33,27,9,31,30,32,13,34,15,14,29,4,25,24,20,0]","[268,338,228,178,298,148,358,28,308,108,198,258,78,118,128,38,238,68,168,328,218,208,288,278,248,88,158,48,58,98,19,318,138,9,188,348]","268","47","122.93647561033815","[122.93647561033815]","[75.93647561033815]","[74]","[120,210,210,120,30,30,210,300,210]","0","36","0","149.7600000000093","16","16","[[[""img/mask17.png""],[""img/mask1.png""],[""img/mask68.png""],[""img/mask83.png""],[""img/mask63.png""],[""img/mask62.png""],[""img/mask43.png""],[""img/mask12.png""],[""img/mask9.png""],[""img/mask61.png""],[""img/mask7.png""],[""img/mask43.png""],[""img/mask73.png""],[""img/mask91.png""],[""img/mask98.png""],[""img/mask77.png""],[""img/mask42.png""],[""img/mask26.png""],[""img/mask50.png""],[""img/mask75.png""],[""img/mask17.png""],[""img/mask81.png""],[""img/mask98.png""],[""img/mask38.png""],[""img/mask6.png""],[""img/mask72.png""],[""img/mask84.png""],[""img/mask68.png""],[""img/mask15.png""],[""img/mask89.png""],[""img/mask38.png""],[""img/mask89.png""],[""img/mask73.png""],[""img/mask23.png""],[""img/mask82.png""],[""img/mask77.png""]]]","","[8,12,22,1,18,11,2,26,7,21,16,6,35,23,5,10,28,17,19,3,33,27,9,31,30,32,13,34,15,14,29,4,25,24,20,0]","main","47","many-guess-6"
"","","","","","html-keyboard-response","34","135265","0.0-10.0-1.7","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","35","138645","0.0-10.0-0.8-0.8","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[1979]","","","[5,27,33,20,21,6,7,8,11,12,26,10,15,31,9,17,22,3,18,13,24,0,2,28,14,30,1,35,16,4,19,34,23,29,32,25]","[206,346,7,57,156,296,117,266,146,37,216,336,97,276,316,47,77,176,107,356,226,196,186,27,236,67,166,17,127,306,256,136,246,326,87,286]","206","325","153.38220323922164","[153.38220323922164]","[188.38220323922164]","[187]","[300,120,300,300,300,210,210,120,300]","0","36","0","148.14000000001397","15.320000000006985","16","[[[""img/mask61.png""],[""img/mask3.png""],[""img/mask26.png""],[""img/mask18.png""],[""img/mask84.png""],[""img/mask63.png""],[""img/mask12.png""],[""img/mask13.png""],[""img/mask86.png""],[""img/mask37.png""],[""img/mask14.png""],[""img/mask20.png""],[""img/mask30.png""],[""img/mask70.png""],[""img/mask42.png""],[""img/mask25.png""],[""img/mask54.png""],[""img/mask72.png""],[""img/mask44.png""],[""img/mask4.png""],[""img/mask98.png""],[""img/mask84.png""],[""img/mask22.png""],[""img/mask16.png""],[""img/mask39.png""],[""img/mask30.png""],[""img/mask66.png""],[""img/mask40.png""],[""img/mask92.png""],[""img/mask33.png""],[""img/mask100.png""],[""img/mask35.png""],[""img/mask100.png""],[""img/mask92.png""],[""img/mask71.png""],[""img/mask42.png""]]]","","[5,27,33,20,21,6,7,8,11,12,26,10,15,31,9,17,22,3,18,13,24,0,2,28,14,30,1,35,16,4,19,34,23,29,32,25]","main","325","many-guess-6"
"","","","","","html-keyboard-response","36","139153","0.0-10.0-1.8","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","37","143109","0.0-10.0-0.9-0.9","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","[2256]","","","[1,14,12,7,35,28,16,34,18,22,3,19,0,23,11,21,5,13,9,24,27,2,10,30,15,29,33,25,17,31,32,8,20,26,4,6]","[47,326,356,107,57,296,346,216,286,236,27,127,336,17,276,186,256,226,306,176,67,166,146,266,87,137,77,7,156,316,97,117,206,37,196,246]","47","114","73.80492685420721","[73.80492685420721]","[319.8049268542072]","[318]","[30,300,120,120,210,120,120,210,210]","0","36","0","149.98000000001048","22.179999999993015","16","[[[""img/mask72.png""],[""img/mask34.png""],[""img/mask98.png""],[""img/mask23.png""],[""img/mask1.png""],[""img/mask4.png""],[""img/mask88.png""],[""img/mask3.png""],[""img/mask45.png""],[""img/mask11.png""],[""img/mask54.png""],[""img/mask16.png""],[""img/mask35.png""],[""img/mask1.png""],[""img/mask45.png""],[""img/mask97.png""],[""img/mask64.png""],[""img/mask36.png""],[""img/mask90.png""],[""img/mask57.png""],[""img/mask11.png""],[""img/mask27.png""],[""img/mask32.png""],[""img/mask51.png""],[""img/mask58.png""],[""img/mask35.png""],[""img/mask28.png""],[""img/mask91.png""],[""img/mask3.png""],[""img/mask43.png""],[""img/mask59.png""],[""img/mask19.png""],[""img/mask12.png""],[""img/mask6.png""],[""img/mask31.png""],[""img/mask4.png""]]]","","[1,14,12,7,35,28,16,34,18,22,3,19,0,23,11,21,5,13,9,24,27,2,10,30,15,29,33,25,17,31,32,8,20,26,4,6]","main","114","many-guess-6"
"","","","","","html-keyboard-response","38","143618","0.0-10.0-1.9","5ec403bb09d0e02a060bd5e6","640759fa512f630a2bdc333d","6407b70c0d2d64613f0a7c1c","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
