"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","14677","0.0-0.0","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18539","0.0-1.0","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","32309","0.0-2.0","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","13768.90000000596","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","42315","0.0-3.0","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","65626","0.0-4.0","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","23310.19999998808","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","75643","0.0-5.0","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","96015","0.0-6.0","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","20372.100000023842","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","108739","0.0-7.0","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","12716.299999982119","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","117701","0.0-8.0-0.0","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","8960.300000011921","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","136631","0.0-8.0-1.0-0.0","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","[9411.199999988079]","","","[26]","[298]","298","10","256.31589736334666","[256.31589736334666]","[246.31589736334666]","[247]","0","0","1","0","498.29299998210627","991.7470000059693","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","155866","0.0-8.0-0.1","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","19232","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","164228","0.0-8.0-1.1-0.1","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","[3076.300000011921]","","","[33,19,15]","[215,345,229]","215","185","33.89686545101487","[33.89686545101487]","[208.89686545101486]","[207]","[300,120,30,30,30,300,120,120,120,120,30,210,120,120,300,30,300,210,300,120,300,30,210,210,30,120,210,120,300,30,300,30,120,300,300,120]","0","3","0","996.9679999999935","1003.0419999880833","1000","[[[""img/mask20.png""],[""img/mask66.png""],[""img/mask35.png""]]]","","[33,19,15]","training","",""
"","","","","","image-keyboard-response","12","171866","0.0-8.0-0.2","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","7636.9000000059605","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","178821","0.0-8.0-1.2-0.2","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","[2802]","","","[12,28,24,0,20]","[115,64,22,184,99]","115","114","120.0609914132855","[120.0609914132855]","[6.060991413285507]","[5]","[30,120,300,300,30,300,210,120,120,210,30,300,120,210,30,300,210,210,210,300,300,30,300,30,120,120,120,300,210,300,210,120,210,30,210,30]","0","5","0","498.65799998809234","496.61199998212396","500","[[[""img/mask44.png""],[""img/mask100.png""],[""img/mask88.png""],[""img/mask71.png""],[""img/mask59.png""]]]","","[12,28,24,0,20]","training","",""
"","","","","","image-keyboard-response","14","180851","0.0-8.0-0.3","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","2028.5999999940395","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","186370","0.0-8.0-1.3-0.3","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","[2651.0999999940395]","","","[7,9,26,24,16,15,29,35,19,31]","[119,91,61,324,17,146,34,314,130,346]","119","162","65.25325178737384","[65.25325178737384]","[263.25325178737387]","[262]","[300,300,210,210,300,210,300,300,300,30,30,300,120,210,30,30,210,120,30,300,120,210,120,210,30,120,30,300,120,210,300,120,120,210,300,210]","0","10","0","131.0259999940463","131.33200000596116","132","[[[""img/mask47.png""],[""img/mask5.png""],[""img/mask14.png""],[""img/mask12.png""],[""img/mask42.png""],[""img/mask58.png""],[""img/mask20.png""],[""img/mask25.png""],[""img/mask16.png""],[""img/mask86.png""]]]","","[7,9,26,24,16,15,29,35,19,31]","training","",""
"","","","","","image-keyboard-response","16","209303","0.0-8.0-0.4","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","22931.5","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","217233","0.0-8.0-1.4-0.4","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","[4482.5]","","","[29,33,25,6,21,20,7,2,9,17,1,28,27,16,10,5,4,11,8,22,30,12,34,31,14,32,18,26,24,0,3,35,23,15,19,13]","[221,201,291,122,132,52,171,92,241,72,211,331,231,102,62,261,281,161,42,12,191,181,2,321,82,341,112,351,251,311,22,151,141,32,301,271]","221","185","12.935284975224612","[12.935284975224612]","[187.93528497522462]","[187]","[120,30,120,300,120,300,210,30,300,120,30,120,30,30,300,300,120,210,300,300,210,210,120,120,210,210,210,210,120,210,120,120,300,210,300,30]","0","36","0","131.04699999999139","11.4530000059749","16","[[[""img/mask50.png""],[""img/mask78.png""],[""img/mask81.png""],[""img/mask96.png""],[""img/mask29.png""],[""img/mask58.png""],[""img/mask55.png""],[""img/mask19.png""],[""img/mask78.png""],[""img/mask26.png""],[""img/mask1.png""],[""img/mask31.png""],[""img/mask14.png""],[""img/mask80.png""],[""img/mask50.png""],[""img/mask91.png""],[""img/mask13.png""],[""img/mask65.png""],[""img/mask3.png""],[""img/mask82.png""],[""img/mask19.png""],[""img/mask60.png""],[""img/mask34.png""],[""img/mask21.png""],[""img/mask98.png""],[""img/mask79.png""],[""img/mask46.png""],[""img/mask1.png""],[""img/mask3.png""],[""img/mask21.png""],[""img/mask27.png""],[""img/mask23.png""],[""img/mask88.png""],[""img/mask64.png""],[""img/mask100.png""],[""img/mask77.png""]]]","","[29,33,25,6,21,20,7,2,9,17,1,28,27,16,10,5,4,11,8,22,30,12,34,31,14,32,18,26,24,0,3,35,23,15,19,13]","training","",""
"","","","","","image-keyboard-response","18","218594","0.0-9.0","5ed543442db0060a955d12e1","640759fa512f630a2bdc333d","6408c17a67015beb52318783","1360.2999999821186","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
