"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","8013","0.0-0.0","5febd16bbaa7c4d3e31147a0","640759fa512f630a2bdc333d","6408c1802c2d8070a8a4a61f","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","17199","0.0-1.0","5febd16bbaa7c4d3e31147a0","640759fa512f630a2bdc333d","6408c1802c2d8070a8a4a61f","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","24627","0.0-2.0","5febd16bbaa7c4d3e31147a0","640759fa512f630a2bdc333d","6408c1802c2d8070a8a4a61f","7424.700000000186","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","34632","0.0-3.0","5febd16bbaa7c4d3e31147a0","640759fa512f630a2bdc333d","6408c1802c2d8070a8a4a61f","7845","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","44664","0.0-4.0","5febd16bbaa7c4d3e31147a0","640759fa512f630a2bdc333d","6408c1802c2d8070a8a4a61f","10030.200000000186","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","54672","0.0-5.0","5febd16bbaa7c4d3e31147a0","640759fa512f630a2bdc333d","6408c1802c2d8070a8a4a61f","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","66821","0.0-6.0","5febd16bbaa7c4d3e31147a0","640759fa512f630a2bdc333d","6408c1802c2d8070a8a4a61f","12146.099999999627","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","87030","0.0-7.0","5febd16bbaa7c4d3e31147a0","640759fa512f630a2bdc333d","6408c1802c2d8070a8a4a61f","20201.299999999814","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","91492","0.0-8.0-0.0","5febd16bbaa7c4d3e31147a0","640759fa512f630a2bdc333d","6408c1802c2d8070a8a4a61f","4441.700000000186","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","98177","0.0-8.0-1.0-0.0","5febd16bbaa7c4d3e31147a0","640759fa512f630a2bdc333d","6408c1802c2d8070a8a4a61f","[805.1000000005588]","","","[1]","[29]","29","172","190.95904845307092","[190.95904845307092]","[18.95904845307092]","[18]","0","0","1","0","498.4660000007425","993.2180000001827","1000","","","0","training","",""
