"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1695","0.0-0.0","602e030cc083e38fcb6b2b65","640759fa512f630a2bdc333d","64076708a859b31faa62dde3","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4840","0.0-1.0","602e030cc083e38fcb6b2b65","640759fa512f630a2bdc333d","64076708a859b31faa62dde3","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","9868","0.0-2.0","602e030cc083e38fcb6b2b65","640759fa512f630a2bdc333d","64076708a859b31faa62dde3","5025.700000762939","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","19872","0.0-3.0","602e030cc083e38fcb6b2b65","640759fa512f630a2bdc333d","64076708a859b31faa62dde3","8103.400001525879","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","20960","0.0-4.0","602e030cc083e38fcb6b2b65","640759fa512f630a2bdc333d","64076708a859b31faa62dde3","1087.400001525879","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","30980","0.0-5.0","602e030cc083e38fcb6b2b65","640759fa512f630a2bdc333d","64076708a859b31faa62dde3","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","63979","0.0-6.0","602e030cc083e38fcb6b2b65","640759fa512f630a2bdc333d","64076708a859b31faa62dde3","33001.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","171511","0.0-7.0","602e030cc083e38fcb6b2b65","640759fa512f630a2bdc333d","64076708a859b31faa62dde3","107477.20000076294","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","177838","0.0-8.0-0.0","602e030cc083e38fcb6b2b65","640759fa512f630a2bdc333d","64076708a859b31faa62dde3","6324.799999237061","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","185747","0.0-8.0-1.0-0.0","602e030cc083e38fcb6b2b65","640759fa512f630a2bdc333d","64076708a859b31faa62dde3","[2088.5]","","","[35]","[294]","294","335","262.1582743522553","[262.1582743522553]","[287.1582743522553]","[287]","0","0","1","0","498.58400000000256","1006.4859992370475","1000","","","0","training","",""
