"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1254","0.0-0.0","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9636","0.0-1.0","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","13631","0.0-2.0","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","3994","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>","t","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","23642","0.0-3.0","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","6709.39999999851","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","25901","0.0-4.0","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","2257.800000000745","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","35907","0.0-5.0","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","42952","0.0-6.0","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","7044","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","62941","0.0-7.0","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","19987.199999999255","[""video/TaskInstructions3.mp4""]","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","66236","0.0-8.0-0.0","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","3293.800000000745","img/training1.png","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","75592","0.0-8.0-1.0-0.0","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","[4413.800000000745]","","","[30]","[245]","245","297","176.42487102859957","[176.42487102859957]","[239.42487102859957]","[238]","0","0","1","0","499.16599999999744","994.9160000022384","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","81023","0.0-8.0-0.1","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","5429.300000000745","img/training2.png","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","91342","0.0-8.0-1.1-0.1","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","[5479.800000000745]","","","[32,35,22]","[36,338,17]","36","0","21.624605486335895","[21.624605486335895]","[21.624605486335895]","[20]","[300,120,30,30,210,300,300,210,210,120,210,120,120,30,300,120,300,300,30,30,210,30,210,210,30,210,210,300,300,210,120,30,30,300,300,120]","0","3","0","999.0290000007517","994.4590000007447","1000","[[[""img/mask73.png""],[""img/mask69.png""],[""img/mask35.png""]]]","","[32,35,22]","training","",""
"","","","","","image-keyboard-response","12","94753","0.0-8.0-0.2","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","3410.599999997765","img/training3.png","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","99800","0.0-8.0-1.2-0.2","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","[1571.4000000022352]","","","[25,23,7,11,30]","[120,167,85,193,256]","120","124","332.78920212336357","[332.78920212336357]","[208.78920212336357]","[208]","[30,300,30,120,210,30,210,30,210,30,30,210,210,120,30,300,30,30,300,210,210,120,210,30,300,120,300,210,30,210,300,30,120,30,120,120]","0","5","0","499.2070000022359","501.9640000000072","500","[[[""img/mask66.png""],[""img/mask98.png""],[""img/mask74.png""],[""img/mask90.png""],[""img/mask54.png""]]]","","[25,23,7,11,30]","training","",""
"","","","","","image-keyboard-response","14","101915","0.0-8.0-0.3","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","2114.099999997765","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","108464","0.0-8.0-1.3-0.3","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","[3018.699999999255]","","","[19,27,9,21,4,11,35,31,29,34]","[39,312,223,280,346,247,26,359,162,188]","39","61","6.834052764744941","[6.834052764744941]","[305.8340527647449]","[305]","[120,300,120,120,300,30,300,120,30,210,300,120,30,30,300,300,300,210,210,300,30,210,30,120,120,120,300,30,30,210,210,30,300,210,120,210]","0","10","0","132.56600000074832","135.04799999999523","132","[[[""img/mask23.png""],[""img/mask9.png""],[""img/mask67.png""],[""img/mask35.png""],[""img/mask33.png""],[""img/mask97.png""],[""img/mask19.png""],[""img/mask99.png""],[""img/mask60.png""],[""img/mask62.png""]]]","","[19,27,9,21,4,11,35,31,29,34]","training","",""
"","","","","","image-keyboard-response","16","111829","0.0-8.0-0.4","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","3364.300000000745","img/training5.png","f","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","118116","0.0-8.0-1.4-0.4","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","[2704.60000000149]","","","[9,2,35,29,18,33,4,22,15,3,28,21,34,8,19,27,14,30,11,17,32,7,6,26,16,31,13,25,24,20,10,0,5,1,12,23]","[306,96,206,17,156,166,126,86,226,27,316,176,256,286,296,146,37,67,57,216,336,7,186,77,196,276,116,346,47,106,266,356,136,326,246,236]","306","129","338.27046475507706","[338.27046475507706]","[209.27046475507706]","[209]","[120,30,120,210,120,120,210,120,30,300,30,30,120,300,210,210,120,210,300,120,300,120,210,300,120,300,210,120,300,300,300,210,300,120,30,300]","0","36","0","132.57800000075076","20.687000002231798","16","[[[""img/mask94.png""],[""img/mask7.png""],[""img/mask82.png""],[""img/mask49.png""],[""img/mask72.png""],[""img/mask32.png""],[""img/mask73.png""],[""img/mask62.png""],[""img/mask52.png""],[""img/mask75.png""],[""img/mask78.png""],[""img/mask9.png""],[""img/mask72.png""],[""img/mask11.png""],[""img/mask7.png""],[""img/mask99.png""],[""img/mask70.png""],[""img/mask59.png""],[""img/mask40.png""],[""img/mask96.png""],[""img/mask84.png""],[""img/mask45.png""],[""img/mask6.png""],[""img/mask49.png""],[""img/mask69.png""],[""img/mask4.png""],[""img/mask54.png""],[""img/mask36.png""],[""img/mask100.png""],[""img/mask9.png""],[""img/mask18.png""],[""img/mask3.png""],[""img/mask1.png""],[""img/mask55.png""],[""img/mask34.png""],[""img/mask50.png""]]]","","[9,2,35,29,18,33,4,22,15,3,28,21,34,8,19,27,14,30,11,17,32,7,6,26,16,31,13,25,24,20,10,0,5,1,12,23]","training","",""
"","","","","","image-keyboard-response","18","120183","0.0-9.0","60a7d7b70d3cf8f48a8a490d","640759fa512f630a2bdc333d","6408c17412ffd79af08583ce","2066.199999999255","[""img/endTraining.png""]","f","","","","","","","","","","","","","","","","","","","","",""
