"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","5390","0.0-0.0","628778b9bd0dbcd8fa2eeb3a","640759fa512f630a2bdc333d","6408c178eaf41ce91ec0ece0","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9514","0.0-1.0","628778b9bd0dbcd8fa2eeb3a","640759fa512f630a2bdc333d","6408c178eaf41ce91ec0ece0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","15529","0.0-2.0","628778b9bd0dbcd8fa2eeb3a","640759fa512f630a2bdc333d","6408c178eaf41ce91ec0ece0","6014.799999952316","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","25531","0.0-3.0","628778b9bd0dbcd8fa2eeb3a","640759fa512f630a2bdc333d","6408c178eaf41ce91ec0ece0","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","29266","0.0-4.0","628778b9bd0dbcd8fa2eeb3a","640759fa512f630a2bdc333d","6408c178eaf41ce91ec0ece0","3734.7000000476837","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","39281","0.0-5.0","628778b9bd0dbcd8fa2eeb3a","640759fa512f630a2bdc333d","6408c178eaf41ce91ec0ece0","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","75725","0.0-6.0","628778b9bd0dbcd8fa2eeb3a","640759fa512f630a2bdc333d","6408c178eaf41ce91ec0ece0","36443.60000014305","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","95565","0.0-7.0","628778b9bd0dbcd8fa2eeb3a","640759fa512f630a2bdc333d","6408c178eaf41ce91ec0ece0","19836.400000095367","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","102513","0.0-8.0-0.0","628778b9bd0dbcd8fa2eeb3a","640759fa512f630a2bdc333d","6408c178eaf41ce91ec0ece0","6947.299999952316","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","110801","0.0-8.0-1.0-0.0","628778b9bd0dbcd8fa2eeb3a","640759fa512f630a2bdc333d","6408c178eaf41ce91ec0ece0","[1212.7000000476837]","","","[30]","[319]","319","271","232.46718884888224","[232.46718884888224]","[321.46718884888224]","[322]","0","0","1","0","498.11399990462814","1007.737000095367","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","125781","0.0-8.0-0.1","628778b9bd0dbcd8fa2eeb3a","640759fa512f630a2bdc333d","6408c178eaf41ce91ec0ece0","14979.099999904633","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
