"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","5039","0.0-0.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9506","0.0-1.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","16386","0.0-2.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","6874.800000011921","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>","enter","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","26398","0.0-3.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","35970","0.0-4.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","9567.600000023842","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","45989","0.0-5.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","75961","0.0-6.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","29968.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","103817","0.0-7.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","27829.899999976158","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","118763","0.0-8.0-0.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","14935.600000023842","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","128613","0.0-8.0-1.0-0.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[2409.5]","","","[13]","[34]","34","80","121.90352456336211","[121.90352456336211]","[41.90352456336211]","[40]","0","0","1","0","497.74400003577466","1003.4950000476965","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","137722","0.0-8.0-0.1","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","9102.600000023842","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","144260","0.0-8.0-1.1-0.1","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[1369.1000000238419]","","","[30,10,29]","[69,242,314]","69","208","178.22560793077034","[178.22560793077034]","[330.22560793077037]","[329]","[210,30,30,210,300,300,210,300,30,300,210,210,300,300,300,210,30,300,300,120,300,120,210,120,300,120,120,300,30,120,120,120,30,120,300,300]","0","3","0","847.4810000357684","998.1909999999916","1000","[[[""img/mask9.png""],[""img/mask61.png""],[""img/mask40.png""]]]","","[30,10,29]","training","",""
"","","","","","image-keyboard-response","12","154997","0.0-8.0-0.2","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","10731.900000035763","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","163780","0.0-8.0-1.2-0.2","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[2762.300000011921]","","","[1,16,14,32,29]","[187,215,172,351,284]","187","340","163.07526421804005","[163.07526421804005]","[183.07526421804005]","[182]","[210,300,30,120,120,210,30,30,210,120,30,210,300,30,300,210,120,300,210,210,120,300,120,120,300,30,30,30,120,120,30,300,30,210,120,210]","0","5","0","498.13400002385606","495.10200002384954","500","[[[""img/mask62.png""],[""img/mask71.png""],[""img/mask25.png""],[""img/mask79.png""],[""img/mask95.png""]]]","","[1,16,14,32,29]","training","",""
"","","","","","image-keyboard-response","14","169614","0.0-8.0-0.3","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","5828.699999988079","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","177004","0.0-8.0-1.3-0.3","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[3740.100000023842]","","","[22,7,17,10,12,2,16,5,13,33]","[294,32,229,4,265,68,15,343,94,329]","294","293","333.45768288874757","[333.45768288874757]","[40.45768288874757]","[40]","[210,210,300,120,30,30,120,120,30,210,30,30,210,30,120,210,300,30,300,120,210,30,300,30,210,120,300,210,30,120,210,120,210,30,30,210]","0","10","0","131.63100004769512","131.05900002384442","132","[[[""img/mask100.png""],[""img/mask20.png""],[""img/mask94.png""],[""img/mask86.png""],[""img/mask32.png""],[""img/mask56.png""],[""img/mask31.png""],[""img/mask27.png""],[""img/mask68.png""],[""img/mask100.png""]]]","","[22,7,17,10,12,2,16,5,13,33]","training","",""
"","","","","","image-keyboard-response","16","185516","0.0-8.0-0.4","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","8503.100000023842","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","191580","0.0-8.0-1.4-0.4","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[2469]","","","[26,32,4,5,1,27,2,29,31,14,30,7,0,6,9,11,17,15,19,16,3,20,24,18,34,12,22,25,10,23,21,35,13,8,33,28]","[16,36,156,186,275,256,56,6,96,216,166,126,355,246,176,196,295,26,345,76,136,86,226,266,236,285,106,116,206,335,315,46,146,325,305,66]","16","39","359.14139904001985","[359.14139904001985]","[320.14139904001985]","[319]","[300,30,30,30,300,210,30,210,30,300,120,120,120,120,300,300,210,30,120,30,210,210,210,120,300,120,210,120,30,210,300,120,300,210,210,30]","0","36","0","181.45900001193513","17.19200001191348","16","[[[""img/mask90.png""],[""img/mask76.png""],[""img/mask71.png""],[""img/mask85.png""],[""img/mask75.png""],[""img/mask65.png""],[""img/mask90.png""],[""img/mask72.png""],[""img/mask22.png""],[""img/mask44.png""],[""img/mask94.png""],[""img/mask36.png""],[""img/mask16.png""],[""img/mask60.png""],[""img/mask99.png""],[""img/mask74.png""],[""img/mask38.png""],[""img/mask19.png""],[""img/mask29.png""],[""img/mask44.png""],[""img/mask47.png""],[""img/mask28.png""],[""img/mask39.png""],[""img/mask27.png""],[""img/mask23.png""],[""img/mask56.png""],[""img/mask11.png""],[""img/mask81.png""],[""img/mask3.png""],[""img/mask72.png""],[""img/mask100.png""],[""img/mask11.png""],[""img/mask90.png""],[""img/mask30.png""],[""img/mask56.png""],[""img/mask24.png""]]]","","[26,32,4,5,1,27,2,29,31,14,30,7,0,6,9,11,17,15,19,16,3,20,24,18,34,12,22,25,10,23,21,35,13,8,33,28]","training","",""
"","","","","","image-keyboard-response","18","196312","0.0-9.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","4725.199999988079","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","196819","0.0-10.0-0.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","20","202638","0.0-10.0-1.0-0.0","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[3246.899999976158]","","","[7,17,10,0,25,15,29,2,24,1,3,19,14,34,35,16,33,32,8,13,6,27,30,26,31,23,4,22,18,9,28,20,5,12,11,21]","[66,335,86,275,176,236,345,16,325,96,76,146,295,305,216,36,206,6,56,265,126,226,186,355,315,116,136,26,166,246,196,255,106,156,285,46]","66","190","201.00602248851388","[201.00602248851388]","[11.006022488513878]","[10]","[120,210,210,30,120,30,30,210,120]","0","36","0","231.31600002382766","22.968000023829518","16","[[[""img/mask100.png""],[""img/mask43.png""],[""img/mask58.png""],[""img/mask19.png""],[""img/mask37.png""],[""img/mask23.png""],[""img/mask77.png""],[""img/mask95.png""],[""img/mask37.png""],[""img/mask54.png""],[""img/mask92.png""],[""img/mask78.png""],[""img/mask97.png""],[""img/mask49.png""],[""img/mask53.png""],[""img/mask55.png""],[""img/mask30.png""],[""img/mask49.png""],[""img/mask48.png""],[""img/mask48.png""],[""img/mask51.png""],[""img/mask73.png""],[""img/mask52.png""],[""img/mask46.png""],[""img/mask30.png""],[""img/mask96.png""],[""img/mask13.png""],[""img/mask68.png""],[""img/mask85.png""],[""img/mask43.png""],[""img/mask83.png""],[""img/mask47.png""],[""img/mask87.png""],[""img/mask81.png""],[""img/mask87.png""],[""img/mask73.png""]]]","","[7,17,10,0,25,15,29,2,24,1,3,19,14,34,35,16,33,32,8,13,6,27,30,26,31,23,4,22,18,9,28,20,5,12,11,21]","main","190","many-guess-6"
"","","","","","html-keyboard-response","21","203145","0.0-10.0-0.1","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","22","209059","0.0-10.0-1.1-0.1","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[2977.899999976158]","","","[4,1,19,15,9,23,7,35,3,17,30,12,29,2,13,11,26,27,34,31,28,21,8,5,16,14,18,24,22,33,0,32,20,25,10,6]","[116,196,246,216,286,316,26,336,96,66,126,226,236,276,6,346,206,146,296,46,326,176,306,16,56,106,36,156,136,166,186,355,86,266,76,256]","116","243","224.84165394856015","[224.84165394856015]","[341.8416539485602]","[342]","[30,300,120,300,300,120,30,30,30]","0","36","0","164.8150000476744","13.146999999997206","16","[[[""img/mask94.png""],[""img/mask11.png""],[""img/mask66.png""],[""img/mask20.png""],[""img/mask25.png""],[""img/mask92.png""],[""img/mask56.png""],[""img/mask63.png""],[""img/mask51.png""],[""img/mask30.png""],[""img/mask80.png""],[""img/mask95.png""],[""img/mask44.png""],[""img/mask67.png""],[""img/mask88.png""],[""img/mask73.png""],[""img/mask75.png""],[""img/mask91.png""],[""img/mask55.png""],[""img/mask5.png""],[""img/mask19.png""],[""img/mask19.png""],[""img/mask39.png""],[""img/mask14.png""],[""img/mask38.png""],[""img/mask30.png""],[""img/mask41.png""],[""img/mask86.png""],[""img/mask26.png""],[""img/mask19.png""],[""img/mask78.png""],[""img/mask53.png""],[""img/mask67.png""],[""img/mask50.png""],[""img/mask67.png""],[""img/mask72.png""]]]","","[4,1,19,15,9,23,7,35,3,17,30,12,29,2,13,11,26,27,34,31,28,21,8,5,16,14,18,24,22,33,0,32,20,25,10,6]","main","243","many-guess-6"
"","","","","","html-keyboard-response","23","209563","0.0-10.0-0.2","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","24","214194","0.0-10.0-1.2-0.2","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[1142.8999999761581]","","","[4]","[41]","41","276","306.85367841686167","[306.85367841686167]","[30.85367841686167]","[31]","0","0","1","0","144.89300003575045","994.1560000357567","1000","[[[""img/mask88.png""]]]","","","main","276","color-precision2"
"","","","","","html-keyboard-response","25","214697","0.0-10.0-0.3","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","26","218913","0.0-10.0-1.3-0.3","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[792.9000000357628]","","","[9]","[83]","83","36","126.1093654555355","[126.1093654555355]","[90.1093654555355]","[88]","0","0","1","0","144.24700000000303","995.2280000238388","1000","[[[""img/mask93.png""]]]","","","main","36","color-precision2"
"","","","","","html-keyboard-response","27","219416","0.0-10.0-0.4","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","28","226546","0.0-10.0-1.4-0.4","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[4549.099999964237]","","","[26,10,32,2,21,31,24,33,23,13,16,1,18,30,8,11,22,35,19,4,7,25,20,6,17,27,0,34,29,12,15,3,5,28,9,14]","[335,76,235,215,205,66,96,146,116,126,185,26,166,16,275,265,175,106,295,225,6,156,305,355,46,136,56,255,86,325,345,245,315,285,36,195]","335","11","44.56361515157924","[44.56361515157924]","[33.56361515157924]","[32]","[120,300,300,210,30,30,120,30,120]","0","36","0","147.40499999999884","22.498000011924887","16","[[[""img/mask93.png""],[""img/mask98.png""],[""img/mask71.png""],[""img/mask22.png""],[""img/mask90.png""],[""img/mask14.png""],[""img/mask74.png""],[""img/mask2.png""],[""img/mask68.png""],[""img/mask74.png""],[""img/mask25.png""],[""img/mask34.png""],[""img/mask61.png""],[""img/mask76.png""],[""img/mask53.png""],[""img/mask44.png""],[""img/mask91.png""],[""img/mask59.png""],[""img/mask32.png""],[""img/mask57.png""],[""img/mask82.png""],[""img/mask34.png""],[""img/mask93.png""],[""img/mask52.png""],[""img/mask86.png""],[""img/mask31.png""],[""img/mask23.png""],[""img/mask33.png""],[""img/mask88.png""],[""img/mask36.png""],[""img/mask40.png""],[""img/mask13.png""],[""img/mask84.png""],[""img/mask29.png""],[""img/mask98.png""],[""img/mask58.png""]]]","","[26,10,32,2,21,31,24,33,23,13,16,1,18,30,8,11,22,35,19,4,7,25,20,6,17,27,0,34,29,12,15,3,5,28,9,14]","main","11","many-guess-6"
"","","","","","html-keyboard-response","29","227059","0.0-10.0-0.5","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","30","232474","0.0-10.0-1.5-0.5","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[1944.9000000357628]","","","[30]","[69]","69","312","44.46069123816449","[44.46069123816449]","[92.46069123816449]","[91]","0","0","1","0","148.00100001192186","997.288000011933","1000","[[[""img/mask49.png""]]]","","","main","312","color-precision2"
"","","","","","html-keyboard-response","31","232978","0.0-10.0-0.6","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","32","238811","0.0-10.0-1.6-0.6","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","[1763.199999988079]","","","[32]","[134]","134","55","190.04771750015743","[190.04771750015743]","[135.04771750015743]","[135]","0","0","1","0","144.25200004767976","994.7220000238449","1000","[[[""img/mask71.png""]]]","","","main","55","color-precision2"
"","","","","","html-keyboard-response","33","239314","0.0-10.0-0.7","62d0a258e5efefa14eb29647","640759fa512f630a2bdc333d","64077ce8a83d6474d024a7ad","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
