"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","11332","0.0-0.0","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","48277","0.0-1.0","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","54143","0.0-2.0","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","5864.5","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","64145","0.0-3.0","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","65086","0.0-4.0","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","940.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","75088","0.0-5.0","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","88999","0.0-6.0","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","13909.900000572205","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","101319","0.0-7.0","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","12317.29999923706","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","106782","0.0-8.0-0.0","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","5462.60000038147","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","116381","0.0-8.0-1.0-0.0","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","[4451.300000190735]","","","[21]","[250]","250","258","133.32675717874724","[133.32675717874724]","[235.32675717874724]","[234]","0","0","1","0","492.6269998092612","995.7079999999987","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","129351","0.0-8.0-0.1","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","12968.400000572205","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","138122","0.0-8.0-1.1-0.1","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","[4285.199999809265]","","","[27,4,1]","[231,146,220]","231","307","168.39430771943435","[168.39430771943435]","[221.39430771943435]","[220]","[120,120,300,300,30,210,300,210,210,300,300,210,30,30,30,30,120,300,300,120,210,300,210,30,300,120,30,300,210,210,120,30,30,30,210,120]","0","3","0","999.2109994277998","999.0769996185263","1000","[[[""img/mask30.png""],[""img/mask7.png""],[""img/mask38.png""]]]","","[27,4,1]","training","",""
"","","","","","image-keyboard-response","12","145095","0.0-8.0-0.2","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","6971.5","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","150622","0.0-8.0-1.2-0.2","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","[2397.800000190735]","","","[5,10,16,12,1]","[36,224,93,162,187]","36","163","196.73319088383187","[196.73319088383187]","[33.73319088383187]","[33]","[120,300,120,30,210,30,210,30,120,30,30,300,210,210,210,30,30,300,300,210,300,120,300,120,210,210,210,30,210,300,120,210,210,300,30,300]","0","5","0","499.6700001907302","502.4800000000105","500","[[[""img/mask59.png""],[""img/mask73.png""],[""img/mask6.png""],[""img/mask69.png""],[""img/mask84.png""]]]","","[5,10,16,12,1]","training","",""
"","","","","","image-keyboard-response","14","155078","0.0-8.0-0.3","630cc9747cb664e8a03c29f0","640759fa512f630a2bdc333d","6408c1777a67713c32f3fc79","4455.200000762939","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
