"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","9748","0.0-0.0","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","13302","0.0-1.0","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","20239","0.0-2.0","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","6936.600000023842","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","30252","0.0-3.0","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","31905","0.0-4.0","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","1653.3999999761581","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","41914","0.0-5.0","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","56065","0.0-6.0","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","14150.5","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","66709","0.0-7.0","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","10642.5","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","75190","0.0-8.0-0.0","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","8480.699999928474","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","86421","0.0-8.0-1.0-0.0","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","[4743.200000047684]","","","[25]","[166]","166","141","302.5638154534143","[302.5638154534143]","[161.5638154534143]","[162]","0","0","1","0","494.57600004768756","999.8650000000052","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","93757","0.0-8.0-0.1","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","7335.5","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","101293","0.0-8.0-1.1-0.1","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","[2969.2999999523163]","","","[7,16,19]","[158,229,137]","158","52","223.14545986346246","[223.14545986346246]","[171.14545986346246]","[171]","[210,210,300,30,120,120,210,30,120,120,300,300,210,210,210,210,30,210,210,210,210,210,210,120,30,210,210,30,120,30,30,210,30,120,210,210]","0","3","0","1001.0600000238483","1003.7079999761627","1000","[[[""img/mask62.png""],[""img/mask70.png""],[""img/mask39.png""]]]","","[7,16,19]","training","",""
"","","","","","image-keyboard-response","12","108706","0.0-8.0-0.2","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","7412.699999928474","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","114412","0.0-8.0-1.2-0.2","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","[2187.6999999284744]","","","[17,6,30,11,5]","[256,193,240,347,283]","256","272","189.16797438906391","[189.16797438906391]","[277.16797438906394]","[276]","[30,30,210,30,300,300,30,30,120,120,300,30,300,120,210,210,210,210,300,210,300,30,210,210,300,120,120,210,120,120,30,120,120,120,120,300]","0","5","0","494.650999976162","502.455999976155","500","[[[""img/mask84.png""],[""img/mask57.png""],[""img/mask79.png""],[""img/mask13.png""],[""img/mask76.png""]]]","","[17,6,30,11,5]","training","",""
"","","","","","image-keyboard-response","14","119086","0.0-8.0-0.3","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","4673.200000047684","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","124549","0.0-8.0-1.3-0.3","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","[2864.7000000476837]","","","[25,16,13,18,15,24,32,11,12,31]","[164,153,22,119,42,353,73,98,186,339]","164","50","30.80229557740195","[30.80229557740195]","[340.80229557740194]","[339]","[210,210,210,30,120,300,30,210,210,30,210,120,120,300,210,300,30,30,210,210,120,300,30,30,120,120,120,120,210,120,210,210,300,30,30,210]","0","10","0","129.3560000476864","133.31500002383837","132","[[[""img/mask5.png""],[""img/mask65.png""],[""img/mask52.png""],[""img/mask76.png""],[""img/mask40.png""],[""img/mask87.png""],[""img/mask33.png""],[""img/mask1.png""],[""img/mask6.png""],[""img/mask25.png""]]]","","[25,16,13,18,15,24,32,11,12,31]","training","",""
"","","","","","image-keyboard-response","16","130280","0.0-8.0-0.4","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","5730.199999928474","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","135548","0.0-8.0-1.4-0.4","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","[2848.899999976158]","","","[3,32,16,4,12,13,27,29,28,34,21,15,2,6,11,7,30,19,33,25,10,35,18,26,5,9,8,1,24,22,20,14,23,31,0,17]","[277,78,108,307,337,317,58,217,157,207,327,8,347,148,267,118,227,98,287,38,48,167,88,187,28,247,177,237,297,138,18,128,197,357,257,68]","277","47","181.36023483499272","[181.36023483499272]","[134.36023483499272]","[133]","[210,30,30,300,210,300,300,120,300,300,120,210,300,300,30,210,120,300,210,300,30,30,30,30,300,30,30,300,300,300,210,30,120,30,120,300]","0","36","0","127.63399999999092","19.76699999999255","16","[[[""img/mask57.png""],[""img/mask68.png""],[""img/mask17.png""],[""img/mask3.png""],[""img/mask12.png""],[""img/mask4.png""],[""img/mask50.png""],[""img/mask34.png""],[""img/mask99.png""],[""img/mask87.png""],[""img/mask52.png""],[""img/mask79.png""],[""img/mask71.png""],[""img/mask7.png""],[""img/mask53.png""],[""img/mask27.png""],[""img/mask4.png""],[""img/mask17.png""],[""img/mask65.png""],[""img/mask91.png""],[""img/mask96.png""],[""img/mask31.png""],[""img/mask99.png""],[""img/mask12.png""],[""img/mask76.png""],[""img/mask18.png""],[""img/mask39.png""],[""img/mask75.png""],[""img/mask30.png""],[""img/mask28.png""],[""img/mask33.png""],[""img/mask70.png""],[""img/mask2.png""],[""img/mask93.png""],[""img/mask17.png""],[""img/mask12.png""]]]","","[3,32,16,4,12,13,27,29,28,34,21,15,2,6,11,7,30,19,33,25,10,35,18,26,5,9,8,1,24,22,20,14,23,31,0,17]","training","",""
"","","","","","image-keyboard-response","18","139489","0.0-9.0","633259075c2d3571332bdae7","640759fa512f630a2bdc333d","6408c1745d0b650d0d0ddc56","3939.7000000476837","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
