"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1267","0.0-0.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","14569","0.0-1.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","20362","0.0-2.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","5792","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","30372","0.0-3.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","8866","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","32645","0.0-4.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","2273","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","42649","0.0-5.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","103238","0.0-6.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","60588","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","114714","0.0-7.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","11466","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","120682","0.0-8.0-0.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","5967","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","129925","0.0-8.0-1.0-0.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[3877]","","","[9]","[194]","194","156","341.1530840425666","[341.1530840425666]","[185.1530840425666]","[185]","0","0","1","0","499.8000000000029","996.0599999999977","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","137630","0.0-8.0-0.1","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","7705","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","145465","0.0-8.0-1.1-0.1","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[1881]","","","[4,0,20]","[125,218,56]","125","355","118.39484818350758","[118.39484818350758]","[123.39484818350758]","[122]","[300,210,300,300,30,210,210,120,210,210,120,120,300,30,120,30,300,300,210,30,30,30,120,30,210,210,210,300,120,300,120,210,210,210,210,30]","0","3","0","999.8399999999965","1001.0400000000081","1000","[[[""img/mask18.png""],[""img/mask39.png""],[""img/mask4.png""]]]","","[4,0,20]","training","",""
"","","","","","image-keyboard-response","12","151371","0.0-8.0-0.2","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","5905","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","157475","0.0-8.0-1.2-0.2","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[1889]","","","[30,11,19,16,10]","[263,27,215,274,315]","263","343","151.66249957871477","[151.66249957871477]","[168.66249957871477]","[167]","[120,120,120,300,210,120,300,120,30,30,30,120,300,300,30,210,120,120,210,300,210,120,210,210,210,300,210,120,120,120,300,30,120,30,30,210]","0","5","0","498.77999999999884","508.04000000000815","500","[[[""img/mask32.png""],[""img/mask19.png""],[""img/mask61.png""],[""img/mask27.png""],[""img/mask98.png""]]]","","[30,11,19,16,10]","training","",""
"","","","","","image-keyboard-response","14","161175","0.0-8.0-0.3","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","3699","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","166317","0.0-8.0-1.3-0.3","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[1763]","","","[2,34,4,23,7,1,12,21,28,19]","[236,51,152,84,274,33,205,254,184,120]","236","220","146.80653878003582","[146.80653878003582]","[286.8065387800358]","[286]","[300,120,300,120,120,300,30,30,120,210,300,210,300,210,120,120,30,120,300,300,300,120,30,300,210,30,120,300,120,120,120,210,120,120,300,120]","0","10","0","132.85999999998603","139.9200000000128","132","[[[""img/mask58.png""],[""img/mask18.png""],[""img/mask39.png""],[""img/mask52.png""],[""img/mask68.png""],[""img/mask33.png""],[""img/mask82.png""],[""img/mask75.png""],[""img/mask70.png""],[""img/mask83.png""]]]","","[2,34,4,23,7,1,12,21,28,19]","training","",""
"","","","","","image-keyboard-response","16","169201","0.0-8.0-0.4","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","2883","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","173709","0.0-8.0-1.4-0.4","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[1638]","","","[14,18,3,30,22,12,9,0,10,27,17,31,6,32,8,7,35,28,24,15,19,1,26,20,13,16,4,2,34,23,5,33,25,29,11,21]","[237,17,307,47,227,287,347,87,67,187,8,257,37,337,147,107,127,327,197,117,297,177,267,357,157,27,217,207,57,277,247,97,77,167,137,317]","237","18","295.5238277646285","[295.5238277646285]","[277.5238277646285]","[278]","[120,210,30,300,30,120,300,120,120,30,300,120,210,30,300,30,210,210,120,30,300,120,120,300,210,30,300,210,30,30,300,30,300,120,120,120]","0","36","0","132.82000000000698","23.79999999998836","16","[[[""img/mask18.png""],[""img/mask16.png""],[""img/mask86.png""],[""img/mask71.png""],[""img/mask69.png""],[""img/mask95.png""],[""img/mask59.png""],[""img/mask97.png""],[""img/mask65.png""],[""img/mask92.png""],[""img/mask56.png""],[""img/mask9.png""],[""img/mask93.png""],[""img/mask77.png""],[""img/mask29.png""],[""img/mask31.png""],[""img/mask34.png""],[""img/mask48.png""],[""img/mask39.png""],[""img/mask73.png""],[""img/mask59.png""],[""img/mask51.png""],[""img/mask57.png""],[""img/mask89.png""],[""img/mask27.png""],[""img/mask55.png""],[""img/mask85.png""],[""img/mask63.png""],[""img/mask90.png""],[""img/mask50.png""],[""img/mask15.png""],[""img/mask98.png""],[""img/mask96.png""],[""img/mask66.png""],[""img/mask73.png""],[""img/mask36.png""]]]","","[14,18,3,30,22,12,9,0,10,27,17,31,6,32,8,7,35,28,24,15,19,1,26,20,13,16,4,2,34,23,5,33,25,29,11,21]","training","",""
"","","","","","image-keyboard-response","18","177850","0.0-9.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","4131","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","178357","0.0-10.0-0.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","20","183177","0.0-10.0-1.0-0.0","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[1637]","","","[10]","[320]","320","82","56.40703334323376","[56.40703334323376]","[334.40703334323376]","[333]","0","0","1","0","149.77999999999884","1002.0799999999872","1000","[[[""img/mask13.png""]]]","","","main","82","color-precision2"
"","","","","","html-keyboard-response","21","183684","0.0-10.0-0.1","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","22","187463","0.0-10.0-1.1-0.1","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[739]","","","[5]","[260]","260","16","281.07049691164605","[281.07049691164605]","[265.07049691164605]","[265]","0","0","1","0","148.95999999999185","997.2600000000093","1000","[[[""img/mask47.png""]]]","","","main","16","color-precision2"
"","","","","","html-keyboard-response","23","187977","0.0-10.0-0.2","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","24","190567","0.0-10.0-1.2-0.2","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[93]","","","[3]","[287]","287","57","","[null]","[null]","[279]","0","0","1","0","149.54000000000815","1001.859999999986","1000","[[[""img/mask32.png""]]]","","","main","57","color-precision2"
"","","","","","html-keyboard-response","25","191079","0.0-10.0-0.3","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","26","193865","0.0-10.0-1.3-0.3","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[390]","","","[20]","[90]","90","247","337.9276643292024","[337.9276643292024]","[90.9276643292024]","[90]","0","0","1","0","150.04000000000815","997.3399999999965","1000","[[[""img/mask68.png""]]]","","","main","247","color-precision2"
"","","","","","html-keyboard-response","27","194378","0.0-10.0-0.4","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","28","197510","0.0-10.0-1.4-0.4","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[585]","","","[33]","[240]","240","174","55.34902835512667","[55.34902835512667]","[241.34902835512668]","[240]","0","0","1","0","149.60000000000582","994.9200000000128","1000","[[[""img/mask83.png""]]]","","","main","174","color-precision2"
"","","","","","html-keyboard-response","29","198025","0.0-10.0-0.5","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","30","201241","0.0-10.0-1.5-0.5","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[398]","","","[20]","[179]","179","46","232.8698448242727","[232.8698448242727]","[186.8698448242727]","[187]","0","0","1","0","148.79999999998836","1003.1000000000058","1000","[[[""img/mask30.png""]]]","","","main","46","color-precision2"
"","","","","","html-keyboard-response","31","201748","0.0-10.0-0.6","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","32","204367","0.0-10.0-1.6-0.6","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[157]","","","[11]","[185]","185","296","122.06804111629236","[122.06804111629236]","[186.06804111629236]","[185]","0","0","1","0","149.01999999998952","994.3399999999965","1000","[[[""img/mask78.png""]]]","","","main","296","color-precision2"
"","","","","","html-keyboard-response","33","204873","0.0-10.0-0.7","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","many-guess-6","34","209295","0.0-10.0-1.7-0.7","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","[1850]","","","[6,29,1,9,19,23,27,8,25,2,15,21,11,32,24,17,5,12,3,35,28,33,13,0,18,7,30,16,20,26,4,10,34,22,31,14]","[181,172,291,321,102,251,72,22,52,191,32,201,152,92,122,261,12,301,331,271,162,311,211,62,142,112,221,2,281,341,42,132,351,231,241,82]","181","49","250.1286931818717","[250.1286931818717]","[201.1286931818717]","[201]","[30,300,300,210,300,120,120,210,30]","0","36","0","149.88000000000466","22.179999999993015","16","[[[""img/mask99.png""],[""img/mask56.png""],[""img/mask53.png""],[""img/mask35.png""],[""img/mask83.png""],[""img/mask58.png""],[""img/mask70.png""],[""img/mask84.png""],[""img/mask86.png""],[""img/mask86.png""],[""img/mask73.png""],[""img/mask74.png""],[""img/mask67.png""],[""img/mask99.png""],[""img/mask63.png""],[""img/mask98.png""],[""img/mask92.png""],[""img/mask78.png""],[""img/mask33.png""],[""img/mask6.png""],[""img/mask98.png""],[""img/mask57.png""],[""img/mask92.png""],[""img/mask84.png""],[""img/mask62.png""],[""img/mask94.png""],[""img/mask84.png""],[""img/mask45.png""],[""img/mask31.png""],[""img/mask100.png""],[""img/mask95.png""],[""img/mask5.png""],[""img/mask9.png""],[""img/mask27.png""],[""img/mask96.png""],[""img/mask70.png""]]]","","[6,29,1,9,19,23,27,8,25,2,15,21,11,32,24,17,5,12,3,35,28,33,13,0,18,7,30,16,20,26,4,10,34,22,31,14]","main","49","many-guess-6"
"","","","","","html-keyboard-response","35","209803","0.0-10.0-0.8","63368a7379eb43fa2105d971","640759fa512f630a2bdc333d","6407b70dd9bef0f1fbc740ca","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
