"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","1253","0.0-0.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4179","0.0-1.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","60995","0.0-2.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","56813","What a beautiful Tuesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","71001","0.0-3.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","74496","0.0-4.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","3493","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","84505","0.0-5.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","103259","0.0-6.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","18752","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","124085","0.0-7.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","20778","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","135300","0.0-8.0-0.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","11211","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","150867","0.0-8.0-1.0-0.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","[8112]","","","[33]","[41]","41","43","75.27658701022997","[75.27658701022997]","[32.276587010229974]","[31]","0","0","1","0","499.0199999999895","1000.7000000000116","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","164611","0.0-8.0-0.1","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","13743","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","177881","0.0-8.0-1.1-0.1","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","[7514]","","","[8,35,28]","[135,291,185]","135","3","123.2850174772396","[123.2850174772396]","[120.2850174772396]","[119]","[30,30,210,30,210,120,300,300,210,30,30,120,30,210,30,120,300,30,300,30,120,30,120,300,300,210,120,210,120,300,30,300,120,120,210,30]","0","3","0","998.2000000000116","1003.5400000000081","1000","[[[""img/mask98.png""],[""img/mask15.png""],[""img/mask27.png""]]]","","[8,35,28]","training","",""
"","","","","","image-keyboard-response","12","186644","0.0-8.0-0.2","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","8762","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","13","197478","0.0-8.0-1.2-0.2","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","[5694]","","","[30,8,23,3,2]","[310,215,262,243,326]","310","314","223.80023556012642","[223.80023556012642]","[269.80023556012645]","[270]","[120,210,300,300,120,30,210,30,30,120,210,210,300,300,300,120,300,300,210,300,300,30,210,300,30,120,300,300,210,120,300,300,120,210,210,120]","0","5","0","499.20000000001164","502.88000000000466","500","[[[""img/mask83.png""],[""img/mask28.png""],[""img/mask17.png""],[""img/mask72.png""],[""img/mask4.png""]]]","","[30,8,23,3,2]","training","",""
"","","","","","image-keyboard-response","14","269516","0.0-8.0-0.3","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","72033","img/training4.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","15","276181","0.0-8.0-1.3-0.3","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","[3018]","","","[19,22,15,16,11,9,26,12,5,23]","[8,304,345,62,333,87,35,77,256,290]","8","83","187.4465252338632","[187.4465252338632]","[104.44652523386321]","[104]","[300,30,210,120,120,30,30,120,210,120,300,210,210,30,300,300,210,300,30,120,210,210,30,30,120,210,120,120,300,120,300,210,30,120,30,300]","0","10","0","132.96000000002095","137.46000000002095","132","[[[""img/mask34.png""],[""img/mask18.png""],[""img/mask2.png""],[""img/mask7.png""],[""img/mask52.png""],[""img/mask68.png""],[""img/mask76.png""],[""img/mask65.png""],[""img/mask86.png""],[""img/mask89.png""]]]","","[19,22,15,16,11,9,26,12,5,23]","training","",""
"","","","","","image-keyboard-response","16","281902","0.0-8.0-0.4","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","5720","img/training5.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","[""many-guess-6""]","17","288177","0.0-8.0-1.4-0.4","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","[2777]","","","[11,18,33,21,7,13,2,10,8,27,14,12,4,26,3,20,28,16,22,35,31,9,19,6,29,25,23,24,32,17,1,15,34,0,5,30]","[11,270,240,181,340,290,51,121,31,330,320,161,230,91,200,41,151,191,280,350,310,141,71,210,300,81,131,260,21,111,1,250,61,101,220,171]","11","202","137.66562504586474","[137.66562504586474]","[295.6656250458648]","[294]","[120,210,210,120,120,300,300,30,210,30,120,30,120,300,120,210,120,210,120,30,300,300,210,120,120,120,30,300,300,120,30,300,30,120,210,300]","0","36","0","132.9199999999837","18.44000000000233","16","[[[""img/mask96.png""],[""img/mask1.png""],[""img/mask35.png""],[""img/mask52.png""],[""img/mask21.png""],[""img/mask71.png""],[""img/mask37.png""],[""img/mask45.png""],[""img/mask32.png""],[""img/mask46.png""],[""img/mask78.png""],[""img/mask15.png""],[""img/mask44.png""],[""img/mask30.png""],[""img/mask9.png""],[""img/mask84.png""],[""img/mask99.png""],[""img/mask76.png""],[""img/mask66.png""],[""img/mask67.png""],[""img/mask99.png""],[""img/mask48.png""],[""img/mask60.png""],[""img/mask31.png""],[""img/mask66.png""],[""img/mask62.png""],[""img/mask25.png""],[""img/mask99.png""],[""img/mask75.png""],[""img/mask36.png""],[""img/mask98.png""],[""img/mask11.png""],[""img/mask3.png""],[""img/mask42.png""],[""img/mask54.png""],[""img/mask69.png""]]]","","[11,18,33,21,7,13,2,10,8,27,14,12,4,26,3,20,28,16,22,35,31,9,19,6,29,25,23,24,32,17,1,15,34,0,5,30]","training","",""
"","","","","","image-keyboard-response","18","321645","0.0-9.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","33454","[""img/endTraining.png""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","322161","0.0-10.0-0.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
"","","","","","color-precision2","20","339057","0.0-10.0-1.0-0.0","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","[2925]","","","[18]","[0]","0","236","229.03463901498495","[229.03463901498495]","[353.0346390149849]","[353]","0","0","1","0","148.52000000001863","1005.0599999999977","1000","[[[""img/mask38.png""]]]","","","main","236","color-precision2"
"","","","","","html-keyboard-response","21","339571","0.0-10.0-0.1","63b6c76ff03d438cd09b8c56","640759fa512f630a2bdc333d","640768c9734f4cbfa9f2c5b9","null","","null","","","","","","","","","","","","","","","","","","","fixation","",""
