"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","5870","0.0-0.0","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10801","0.0-1.0","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","14545","0.0-2.0","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","3742.5","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","24547","0.0-3.0","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","25607","0.0-4.0","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","1059.0999999046326","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","35618","0.0-5.0","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","44413","0.0-6.0","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","8794","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","77024","0.0-7.0","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","32553.700000047684","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","80775","0.0-8.0-0.0","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","3749.0999999046326","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","90665","0.0-8.0-1.0-0.0","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","[2597.2000000476837]","","","[30]","[261]","261","210","119.27577464836659","[119.27577464836659]","[269.27577464836656]","[267]","0","0","1","0","498.8670000953716","1005.1599999523169","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","94884","0.0-8.0-0.1","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","4217.200000047684","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","110866","0.0-8.0-1.1-0.1","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","[2768.600000143051]","","","[25,14,0]","[295,271,225]","295","210","116.89751621720507","[116.89751621720507]","[266.89751621720507]","[265]","[210,120,120,300,210,210,120,300,30,30,300,210,300,300,120,210,210,210,300,30,30,300,210,210,120,30,30,210,300,120,210,300,120,30,210,300]","0","3","0","998.7170001430495","998.724000000002","1000","[[[""img/mask61.png""],[""img/mask93.png""],[""img/mask62.png""]]]","","[25,14,0]","training","",""
"","","","","","image-keyboard-response","12","115391","0.0-8.0-0.2","63d569384ae2cf6d4dce7c32","640759fa512f630a2bdc333d","6408c1809ba9b23e83d97a24","4524.300000190735","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
