"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","position_of_items","colors_of_items","color_of_target","wheel_spin","response_angle","physical_response_angle","reported_color_angle","reported_color_discrete","locs","which_test","set_size","wheel_num_options","actual_mask_duration","actual_stim_duration","CMDispTime","maskArray","maskRotation","item_positions","task","randomSpinAmount","mainTask"
"true","false","[]","[]","[]","preload","0","7010","0.0-0.0","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9919","0.0-1.0","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","18862","0.0-2.0","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","8939","What a beautiful Wednesday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.<p> [Press any key to continue] </p>"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","28864","0.0-3.0","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","36671","0.0-4.0","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","7807","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions1.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","46675","0.0-5.0","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","null","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    ","null","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","69692","0.0-6.0","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","23016","
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/TaskInstructions2.png'></img>
    </div>
    "," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","7","90975","0.0-7.0","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","21261","[""video/TaskInstructions3.mp4""]"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","8","96511","0.0-8.0-0.0","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","5533","img/training1.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","color-precision2","9","109643","0.0-8.0-1.0-0.0","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","[5238]","","","[30]","[160]","160","25","193.31449940737897","[193.31449940737897]","[168.31449940737897]","[168]","0","0","1","0","500.11999999999534","993.7400000000052","1000","","","0","training","",""
"","","","","","image-keyboard-response","10","123330","0.0-8.0-0.1","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","13685","img/training2.png"," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","many-guess-6","11","133955","0.0-8.0-1.1-0.1","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","[2830]","","","[13,11,2]","[358,38,329]","358","131","129.20355099700035","[129.20355099700035]","[358.2035509970003]","[358]","[30,120,210,210,120,120,120,210,210,30,300,120,30,30,210,300,300,30,120,30,120,120,300,120,120,30,120,120,300,30,30,120,120,30,30,30]","0","3","0","999.359999999986","997.179999999993","1000","[[[""img/mask27.png""],[""img/mask95.png""],[""img/mask99.png""]]]","","[13,11,2]","training","",""
"","","","","","image-keyboard-response","12","138268","0.0-8.0-0.2","63ed04d2ce3b27bda2fbbb9c","640759fa512f630a2bdc333d","6408c174d622b9d5c03a5603","4312","img/training3.png"," ","","","","","","","","","","","","","","","","","","","","",""
